smoothed;3
(;h;i; ;e;v;r;y;b;o;d;w;l;c;m;t;j;s;);a;p;g;u;f;n;x;k;.;z;q;,;#
ad;0.000124;0.000867;0.061300;0.398266;0.152198;0.042972;0.001858;0.075294;0.000991;0.016718;0.058328;0.000248;0.017461;0.002972;0.047183;0.000248;0.001734;0.025759;0.060186;0.017337;0.000124;0.000867;0.007059;0.000372;0.004706;0.000124;0.000124;0.000124;0.000124;0.004087;0.000124;0.000124
aw;0.000594;0.001188;0.008907;0.302257;0.045724;0.000594;0.029691;0.072447;0.001188;0.000594;0.002969;0.000594;0.011283;0.000594;0.013658;0.000594;0.000594;0.084323;0.052850;0.290380;0.000594;0.000594;0.000594;0.039192;0.015439;0.000594;0.019002;0.000594;0.000594;0.000594;0.000594;0.000594
al;0.000037;0.000037;0.069785;0.186006;0.019696;0.001217;0.019143;0.005496;0.001734;0.012504;0.019217;0.014311;0.405651;0.001438;0.012909;0.029729;0.000037;0.056138;0.043966;0.009332;0.001217;0.002361;0.004315;0.011877;0.000885;0.000037;0.070190;0.000037;0.000037;0.000590;0.000037;0.000037
ac;0.000093;0.091713;0.029702;0.007356;0.134916;0.000093;0.016108;0.044600;0.000186;0.006052;0.000093;0.000093;0.001676;0.080819;0.000093;0.299721;0.000093;0.002980;0.000838;0.014618;0.000186;0.000186;0.001955;0.000093;0.000093;0.000093;0.263222;0.000093;0.000186;0.001862;0.000093;0.000093
am;0.000130;0.000389;0.071623;0.127574;0.372361;0.000130;0.000130;0.001425;0.016837;0.034192;0.000518;0.000130;0.000518;0.000130;0.010232;0.000259;0.000130;0.017226;0.019557;0.159435;0.135475;0.000130;0.000777;0.000259;0.029400;0.000130;0.000130;0.000130;0.000259;0.000130;0.000130;0.000130
at;0.000017;0.011418;0.104712;0.466557;0.121498;0.000052;0.004375;0.000279;0.000017;0.009186;0.000174;0.000017;0.001081;0.011313;0.000314;0.019558;0.000017;0.161452;0.073352;0.005282;0.000035;0.000035;0.006363;0.002371;0.000157;0.000017;0.000035;0.000017;0.000244;0.000017;0.000017;0.000017
aj;0.003802;0.003802;0.007605;0.003802;0.026616;0.003802;0.007605;0.003802;0.003802;0.798479;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.007605;0.003802;0.003802;0.045627;0.003802;0.003802;0.011407;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802
as;0.000053;0.031092;0.026891;0.513813;0.055620;0.000053;0.000158;0.006565;0.000210;0.031513;0.000053;0.000053;0.002311;0.003782;0.000788;0.088130;0.000053;0.091544;0.080672;0.002416;0.002416;0.000053;0.004254;0.000053;0.021534;0.000053;0.035137;0.000053;0.000053;0.000525;0.000053;0.000053
a);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
aa;0.013333;0.040000;0.013333;0.160000;0.013333;0.013333;0.213333;0.013333;0.013333;0.013333;0.026667;0.013333;0.026667;0.026667;0.106667;0.013333;0.013333;0.013333;0.026667;0.013333;0.040000;0.013333;0.013333;0.013333;0.026667;0.013333;0.026667;0.013333;0.013333;0.013333;0.013333;0.013333
ap;0.000253;0.022307;0.075285;0.034728;0.094804;0.000253;0.005323;0.000507;0.000253;0.056781;0.000760;0.000253;0.001267;0.000253;0.000253;0.015463;0.000253;0.020532;0.005577;0.035995;0.625602;0.000253;0.000507;0.000253;0.000253;0.000253;0.000507;0.000253;0.000253;0.000253;0.000253;0.000253
ag;0.000180;0.004147;0.041471;0.028669;0.315362;0.000180;0.086729;0.000180;0.000180;0.083484;0.000180;0.000180;0.000541;0.000180;0.001983;0.000180;0.000180;0.007393;0.005409;0.382798;0.000180;0.024162;0.008835;0.000180;0.005770;0.000180;0.000180;0.000180;0.000180;0.000180;0.000180;0.000180
au;0.000184;0.000184;0.000368;0.002759;0.001288;0.000552;0.012509;0.000184;0.000368;0.000184;0.067697;0.000368;0.046174;0.012693;0.004599;0.048381;0.000184;0.711185;0.000552;0.000184;0.000184;0.064570;0.000184;0.000552;0.019316;0.000368;0.003311;0.000184;0.000184;0.000184;0.000184;0.000184
af;0.000626;0.000626;0.010645;0.011897;0.048842;0.000626;0.114590;0.000626;0.000626;0.015028;0.001252;0.000626;0.008140;0.000626;0.000626;0.466500;0.000626;0.001252;0.001252;0.002505;0.000626;0.041954;0.000626;0.264245;0.000626;0.000626;0.000626;0.000626;0.000626;0.000626;0.000626;0.000626
an;0.000017;0.000279;0.019232;0.156946;0.005248;0.000174;0.000052;0.055082;0.000035;0.011055;0.507193;0.000418;0.000122;0.021726;0.000087;0.093843;0.000087;0.037733;0.029642;0.009206;0.000105;0.018361;0.001796;0.000227;0.010427;0.000087;0.020680;0.000017;0.000052;0.000035;0.000017;0.000017
ax;0.001873;0.001873;0.048689;0.522472;0.228464;0.001873;0.001873;0.005618;0.001873;0.007491;0.003745;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873;0.089888;0.005618;0.044944;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873
ak;0.000214;0.001282;0.171832;0.053430;0.701218;0.000214;0.000427;0.001496;0.000214;0.005770;0.000855;0.000214;0.000855;0.000214;0.000214;0.000427;0.000214;0.038897;0.008763;0.007053;0.000214;0.000214;0.001282;0.001496;0.001069;0.000214;0.000641;0.000214;0.000214;0.000214;0.000214;0.000214
a.;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.184211;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
az;0.001093;0.002186;0.449180;0.004372;0.036066;0.001093;0.001093;0.254645;0.001093;0.173770;0.001093;0.001093;0.001093;0.001093;0.001093;0.001093;0.001093;0.001093;0.002186;0.042623;0.001093;0.001093;0.003279;0.001093;0.001093;0.001093;0.001093;0.001093;0.006557;0.002186;0.001093;0.001093
aq;0.003058;0.003058;0.042813;0.697248;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.006116;0.003058;0.003058;0.012232;0.103976;0.006116;0.003058;0.003058;0.055046;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058
a,;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
a#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
p(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ph;0.001139;0.001139;0.183371;0.082005;0.091116;0.001139;0.029613;0.046697;0.001139;0.371298;0.004556;0.001139;0.002278;0.001139;0.001139;0.001139;0.001139;0.018223;0.020501;0.126424;0.001139;0.001139;0.001139;0.001139;0.001139;0.001139;0.001139;0.001139;0.001139;0.001139;0.001139;0.001139
pi;0.000428;0.000428;0.000428;0.003856;0.087832;0.002142;0.136675;0.000428;0.000428;0.023136;0.050985;0.000428;0.026992;0.170951;0.001285;0.164096;0.000428;0.024850;0.002142;0.007284;0.025278;0.003856;0.000428;0.000428;0.255784;0.000428;0.003856;0.000428;0.002999;0.000428;0.000428;0.000428
p ;0.000155;0.033911;0.105296;0.001858;0.012078;0.008517;0.017807;0.030969;0.043822;0.060855;0.030969;0.069681;0.012852;0.027718;0.017498;0.184268;0.008981;0.064416;0.000774;0.146640;0.023382;0.016878;0.017498;0.040570;0.016104;0.000155;0.004336;0.000155;0.000619;0.000929;0.000155;0.000155
pe;0.000067;0.000269;0.000202;0.028372;0.014522;0.000134;0.183004;0.000269;0.000067;0.402044;0.034019;0.000605;0.016673;0.054256;0.000067;0.023195;0.000134;0.004505;0.004101;0.046928;0.000605;0.001479;0.000134;0.002286;0.181458;0.000134;0.000067;0.000067;0.000134;0.000067;0.000067;0.000067
pv;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
pr;0.000111;0.000111;0.148604;0.003214;0.306959;0.000111;0.000111;0.000332;0.000111;0.522385;0.000111;0.000111;0.000111;0.000111;0.000111;0.000111;0.000111;0.000443;0.000443;0.013520;0.000111;0.000111;0.001441;0.000111;0.000111;0.000111;0.000222;0.000111;0.000111;0.000111;0.000111;0.000111
py;0.003333;0.003333;0.150000;0.620000;0.003333;0.003333;0.013333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.120000;0.003333;0.006667;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333
pb;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.272727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
po;0.000104;0.000104;0.092669;0.005488;0.003520;0.005695;0.264340;0.000104;0.000104;0.029820;0.014910;0.061296;0.191240;0.007869;0.001450;0.014082;0.000104;0.188341;0.000725;0.000104;0.034169;0.000104;0.004970;0.000207;0.069165;0.000518;0.008283;0.000104;0.000104;0.000104;0.000104;0.000104
pd;0.014706;0.014706;0.014706;0.044118;0.014706;0.014706;0.014706;0.014706;0.014706;0.117647;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.029412;0.014706;0.397059;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
pw;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
pl;0.000101;0.000101;0.026920;0.000101;0.749114;0.000101;0.000101;0.013865;0.000101;0.034713;0.000101;0.000101;0.000101;0.000101;0.000101;0.000101;0.000101;0.000101;0.000101;0.158486;0.000101;0.000101;0.014270;0.000101;0.000101;0.000101;0.000101;0.000101;0.000101;0.000101;0.000101;0.000101
pc;0.024390;0.048780;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.146341;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
pm;0.014286;0.014286;0.014286;0.057143;0.414286;0.014286;0.014286;0.014286;0.028571;0.071429;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.028571;0.014286;0.014286;0.014286;0.014286;0.014286;0.028571;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286
pt;0.000707;0.004243;0.283593;0.385431;0.122348;0.000707;0.000707;0.024752;0.000707;0.028289;0.000707;0.000707;0.001414;0.008487;0.000707;0.000707;0.000707;0.021924;0.058699;0.018388;0.000707;0.000707;0.028289;0.000707;0.000707;0.000707;0.000707;0.000707;0.000707;0.000707;0.000707;0.000707
pj;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ps;0.000827;0.002481;0.013234;0.651778;0.124069;0.000827;0.000827;0.043838;0.000827;0.009926;0.000827;0.000827;0.000827;0.000827;0.000827;0.013234;0.000827;0.000827;0.118280;0.002481;0.000827;0.000827;0.002481;0.000827;0.000827;0.000827;0.000827;0.000827;0.000827;0.000827;0.000827;0.000827
p);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
pa;0.000125;0.000125;0.130050;0.002993;0.000125;0.000998;0.409476;0.100374;0.003865;0.000249;0.005736;0.000623;0.020823;0.032045;0.003367;0.055985;0.000125;0.057232;0.000249;0.000249;0.024938;0.048753;0.015960;0.000125;0.082170;0.000125;0.001870;0.000125;0.000125;0.000623;0.000125;0.000249
pp;0.000218;0.000218;0.035046;0.010013;0.439269;0.000218;0.064214;0.019373;0.000218;0.352634;0.000218;0.000218;0.055943;0.000218;0.000218;0.000218;0.000218;0.002177;0.001306;0.015237;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218
pg;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
pu;0.000274;0.001094;0.000274;0.000547;0.010667;0.000274;0.047867;0.000274;0.352845;0.000274;0.001368;0.000274;0.122265;0.000274;0.003009;0.296225;0.000274;0.117068;0.000274;0.000274;0.015591;0.001094;0.000274;0.001368;0.021882;0.000274;0.001094;0.000274;0.001641;0.000274;0.000274;0.000274
pf;0.016949;0.016949;0.033898;0.016949;0.033898;0.016949;0.067797;0.016949;0.016949;0.016949;0.016949;0.016949;0.050847;0.016949;0.016949;0.016949;0.016949;0.016949;0.033898;0.033898;0.016949;0.016949;0.305085;0.016949;0.016949;0.016949;0.033898;0.016949;0.016949;0.016949;0.016949;0.016949
pn;0.023810;0.023810;0.047619;0.023810;0.142857;0.023810;0.023810;0.023810;0.023810;0.119048;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
px;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
pk;0.027778;0.027778;0.138889;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
p.;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.707547;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434
pz;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
pq;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
p,;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
p#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
g(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
gh;0.000111;0.000111;0.003558;0.135090;0.016122;0.000111;0.000667;0.000111;0.008005;0.004670;0.001334;0.001112;0.008672;0.000111;0.000111;0.782744;0.000111;0.001001;0.023682;0.009784;0.000889;0.000111;0.000111;0.000222;0.000445;0.000111;0.000111;0.000111;0.000111;0.000334;0.000111;0.000111
gi;0.000331;0.000331;0.000331;0.000662;0.012570;0.396626;0.023487;0.000331;0.005293;0.035395;0.001985;0.000331;0.026795;0.042342;0.021833;0.023817;0.000331;0.084353;0.000331;0.023156;0.000331;0.008270;0.000992;0.007939;0.268277;0.000331;0.000331;0.000331;0.011578;0.000331;0.000331;0.000331
g ;0.000038;0.035148;0.096630;0.002166;0.015009;0.003230;0.019873;0.030285;0.028727;0.062735;0.017707;0.060911;0.014439;0.021469;0.025345;0.262416;0.005776;0.042216;0.000342;0.139834;0.031653;0.008246;0.019987;0.039632;0.012425;0.000038;0.002052;0.000152;0.000114;0.001026;0.000342;0.000038
ge;0.000096;0.000192;0.002016;0.200115;0.003167;0.000096;0.093771;0.000672;0.000480;0.018716;0.044630;0.000384;0.008926;0.000192;0.004895;0.408197;0.000192;0.068433;0.033976;0.002495;0.000096;0.000096;0.000192;0.000096;0.107112;0.000096;0.000096;0.000192;0.000096;0.000096;0.000096;0.000096
gv;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
gr;0.000221;0.000221;0.040573;0.000441;0.620507;0.000221;0.000221;0.008820;0.000221;0.121279;0.000221;0.000221;0.000221;0.000221;0.000221;0.000221;0.000221;0.000221;0.000221;0.200441;0.000221;0.000221;0.002426;0.000221;0.000221;0.000221;0.000221;0.000221;0.000221;0.000221;0.000221;0.000221
gy;0.002890;0.002890;0.002890;0.618497;0.002890;0.002890;0.008671;0.002890;0.008671;0.002890;0.002890;0.002890;0.002890;0.002890;0.069364;0.002890;0.002890;0.002890;0.127168;0.002890;0.043353;0.002890;0.002890;0.002890;0.052023;0.002890;0.002890;0.002890;0.002890;0.002890;0.002890;0.002890
gb;0.016667;0.016667;0.016667;0.166667;0.016667;0.016667;0.016667;0.083333;0.016667;0.033333;0.016667;0.016667;0.016667;0.016667;0.016667;0.166667;0.016667;0.016667;0.033333;0.083333;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667
go;0.000080;0.000159;0.105821;0.193222;0.030463;0.078549;0.008293;0.000080;0.001037;0.085726;0.031499;0.000797;0.004705;0.000080;0.000159;0.176316;0.000080;0.002392;0.036204;0.005981;0.002711;0.001276;0.000319;0.002791;0.230702;0.000080;0.000080;0.000080;0.000080;0.000080;0.000080;0.000080
gd;0.018868;0.018868;0.018868;0.056604;0.018868;0.018868;0.018868;0.018868;0.018868;0.094340;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.301887;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
gw;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
gl;0.001085;0.001085;0.063991;0.001085;0.541215;0.001085;0.001085;0.132321;0.001085;0.087852;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085;0.142082;0.001085;0.001085;0.004338;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085
gc;0.016667;0.066667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.433333;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667
gm;0.007407;0.007407;0.014815;0.044444;0.570370;0.007407;0.007407;0.007407;0.014815;0.037037;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.014815;0.014815;0.103704;0.007407;0.007407;0.014815;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407
gt;0.002320;0.051044;0.039443;0.004640;0.023202;0.002320;0.002320;0.002320;0.002320;0.819026;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320
