smoothed;3
(;i;t; ;s;g;r;e;a;o;b;j;n;d;y;);c;m;k;h;w;p;l;f;v;u;x;z;q;.;#
fl;0.002865;0.214900;0.002865;0.017192;0.002865;0.002865;0.002865;0.106017;0.174785;0.108883;0.002865;0.002865;0.002865;0.002865;0.140401;0.002865;0.002865;0.002865;0.002865;0.002865;0.002865;0.002865;0.002865;0.002865;0.002865;0.169054;0.002865;0.002865;0.002865;0.002865;0.002865
ff;0.000723;0.149566;0.001445;0.263006;0.062861;0.000723;0.006503;0.381503;0.026012;0.036127;0.001445;0.000723;0.001445;0.000723;0.001445;0.046965;0.001445;0.000723;0.000723;0.004335;0.000723;0.000723;0.003613;0.000723;0.000723;0.001445;0.000723;0.000723;0.000723;0.000723;0.000723
fv;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
fu;0.001621;0.001621;0.090762;0.004862;0.072934;0.003241;0.082658;0.014587;0.001621;0.001621;0.001621;0.001621;0.288493;0.001621;0.001621;0.003241;0.001621;0.008104;0.001621;0.001621;0.001621;0.001621;0.397083;0.001621;0.001621;0.001621;0.001621;0.001621;0.001621;0.001621;0.001621
fx;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
fz;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
fq;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
f.;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
f#;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
v(;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
vi;0.000430;0.000430;0.030981;0.000430;0.070998;0.009036;0.025387;0.151033;0.006454;0.099828;0.001291;0.000430;0.179432;0.322289;0.000430;0.000430;0.055077;0.000430;0.000430;0.000430;0.000430;0.000430;0.031842;0.000430;0.008606;0.000430;0.000430;0.000430;0.000430;0.000430;0.000430
vt;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
v ;0.013514;0.054054;0.054054;0.013514;0.108108;0.013514;0.013514;0.013514;0.121622;0.040541;0.013514;0.013514;0.027027;0.027027;0.013514;0.013514;0.013514;0.040541;0.013514;0.040541;0.162162;0.013514;0.013514;0.013514;0.013514;0.054054;0.013514;0.013514;0.013514;0.013514;0.013514
vs;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571
vg;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
vr;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ve;0.000105;0.000524;0.002307;0.377372;0.051064;0.001468;0.316557;0.000105;0.001049;0.000210;0.000419;0.000105;0.102653;0.026423;0.001153;0.063857;0.000105;0.016357;0.000105;0.000734;0.000105;0.000105;0.036175;0.000105;0.000105;0.000105;0.000210;0.000105;0.000105;0.000105;0.000105
va;0.001227;0.023313;0.242945;0.007362;0.017178;0.026994;0.055215;0.001227;0.002454;0.001227;0.039264;0.001227;0.309202;0.004908;0.001227;0.004908;0.018405;0.003681;0.001227;0.001227;0.001227;0.001227;0.223313;0.001227;0.001227;0.001227;0.001227;0.001227;0.001227;0.001227;0.001227
vo;0.001667;0.071667;0.425000;0.001667;0.013333;0.001667;0.096667;0.001667;0.001667;0.001667;0.001667;0.001667;0.001667;0.001667;0.003333;0.003333;0.068333;0.001667;0.005000;0.001667;0.003333;0.001667;0.263333;0.001667;0.001667;0.011667;0.003333;0.001667;0.001667;0.001667;0.001667
vb;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
vj;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
vn;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
vd;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
vy;0.022727;0.022727;0.022727;0.250000;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.090909;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
v);0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
vc;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
vm;0.029412;0.029412;0.058824;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
vk;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
vh;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
vw;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
vp;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
vl;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.311111;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
vf;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
vv;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.166667;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
vu;0.018868;0.018868;0.245283;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.207547;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
vx;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
vz;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
vq;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
v.;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
v#;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
u(;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ui;0.001767;0.001767;0.277385;0.001767;0.040636;0.001767;0.054770;0.007067;0.008834;0.001767;0.001767;0.001767;0.160777;0.061837;0.001767;0.001767;0.113074;0.001767;0.001767;0.001767;0.001767;0.015901;0.213781;0.001767;0.008834;0.001767;0.001767;0.003534;0.001767;0.001767;0.001767
ut;0.000156;0.043621;0.012508;0.686679;0.011882;0.000156;0.006723;0.044403;0.004847;0.011570;0.000156;0.000156;0.000156;0.000313;0.002658;0.108974;0.002345;0.000156;0.000156;0.036585;0.000156;0.000469;0.005159;0.000156;0.000156;0.018918;0.000156;0.000156;0.000156;0.000156;0.000156
u ;0.000225;0.022257;0.085881;0.000674;0.075540;0.035072;0.011915;0.009667;0.071043;0.014388;0.026079;0.011241;0.012815;0.065198;0.010117;0.000225;0.079137;0.029451;0.238984;0.058004;0.079137;0.012140;0.022707;0.018435;0.002473;0.005621;0.000225;0.000225;0.000450;0.000225;0.000450
us;0.000170;0.066814;0.272003;0.136341;0.089537;0.000170;0.000339;0.300831;0.025267;0.000339;0.001696;0.000170;0.000339;0.000170;0.002544;0.025437;0.002374;0.000170;0.000509;0.030863;0.000170;0.004918;0.029507;0.000170;0.000170;0.008140;0.000170;0.000170;0.000170;0.000170;0.000170
ug;0.000870;0.000870;0.000870;0.021739;0.009565;0.061739;0.000870;0.061739;0.015652;0.000870;0.000870;0.000870;0.003478;0.000870;0.000870;0.005217;0.000870;0.000870;0.000870;0.780870;0.000870;0.000870;0.008696;0.000870;0.000870;0.013043;0.000870;0.000870;0.000870;0.000870;0.000870
ur;0.000229;0.077047;0.054575;0.217611;0.087136;0.006879;0.022701;0.266453;0.054804;0.011236;0.005733;0.000229;0.042651;0.007567;0.020408;0.046090;0.030498;0.000917;0.007338;0.000229;0.000229;0.024536;0.000459;0.003898;0.008255;0.000917;0.000229;0.000229;0.000459;0.000229;0.000229
ue;0.000647;0.001294;0.005178;0.313916;0.477023;0.000647;0.009709;0.007120;0.000647;0.000647;0.001294;0.000647;0.079612;0.017476;0.000647;0.051780;0.000647;0.000647;0.000647;0.000647;0.000647;0.000647;0.022654;0.000647;0.000647;0.000647;0.000647;0.000647;0.000647;0.000647;0.000647
ua;0.000732;0.000732;0.079737;0.000732;0.003658;0.024140;0.054133;0.000732;0.000732;0.000732;0.013899;0.000732;0.020483;0.008778;0.000732;0.001463;0.000732;0.004389;0.001463;0.000732;0.000732;0.000732;0.773226;0.000732;0.000732;0.000732;0.000732;0.000732;0.000732;0.000732;0.000732
uo;0.005435;0.010870;0.646739;0.130435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.010870;0.005435;0.016304;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.048913;0.005435;0.005435;0.005435;0.005435;0.005435
ub;0.001229;0.030713;0.058968;0.015971;0.049140;0.001229;0.038084;0.114251;0.008600;0.001229;0.027027;0.051597;0.001229;0.001229;0.001229;0.004914;0.004914;0.009828;0.001229;0.001229;0.011057;0.007371;0.539312;0.001229;0.001229;0.009828;0.001229;0.001229;0.001229;0.001229;0.001229
uj;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
un;0.000327;0.170206;0.163345;0.049004;0.019275;0.026135;0.004900;0.027115;0.013721;0.001960;0.004574;0.001307;0.042470;0.338451;0.000653;0.010454;0.053577;0.000980;0.011434;0.006534;0.002287;0.004900;0.021562;0.019275;0.000327;0.001633;0.000327;0.000327;0.002287;0.000327;0.000327
ud;0.001252;0.384230;0.001252;0.060075;0.007509;0.103880;0.001252;0.210263;0.012516;0.045056;0.001252;0.001252;0.001252;0.053817;0.082603;0.010013;0.001252;0.001252;0.001252;0.001252;0.001252;0.001252;0.002503;0.001252;0.001252;0.003755;0.001252;0.001252;0.001252;0.001252;0.001252
uy;0.003300;0.059406;0.003300;0.584158;0.145215;0.003300;0.003300;0.006601;0.003300;0.023102;0.006601;0.003300;0.003300;0.003300;0.003300;0.095710;0.003300;0.003300;0.003300;0.003300;0.003300;0.003300;0.003300;0.003300;0.003300;0.003300;0.003300;0.003300;0.003300;0.003300;0.003300
u);0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
uc;0.000941;0.016933;0.187206;0.000941;0.000941;0.000941;0.009407;0.041392;0.033866;0.000941;0.000941;0.000941;0.000941;0.000941;0.000941;0.000941;0.055503;0.000941;0.130762;0.439323;0.000941;0.000941;0.061148;0.000941;0.000941;0.004704;0.000941;0.000941;0.000941;0.000941;0.000941
um;0.000342;0.006491;0.000342;0.048855;0.013324;0.000342;0.000342;0.078237;0.033481;0.010933;0.112402;0.000342;0.002392;0.000683;0.000342;0.010249;0.000342;0.021524;0.000342;0.000342;0.000342;0.652887;0.000342;0.000342;0.001025;0.001708;0.000342;0.000342;0.000342;0.000342;0.000342
uk;0.016393;0.016393;0.016393;0.098361;0.032787;0.016393;0.147541;0.229508;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.032787;0.049180;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
uh;0.003650;0.003650;0.003650;0.744526;0.003650;0.003650;0.003650;0.003650;0.003650;0.003650;0.018248;0.003650;0.003650;0.003650;0.003650;0.127737;0.003650;0.003650;0.003650;0.010949;0.003650;0.003650;0.003650;0.003650;0.003650;0.003650;0.003650;0.003650;0.003650;0.003650;0.003650
uw;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
up;0.000673;0.018855;0.028283;0.385859;0.034343;0.001347;0.065993;0.069360;0.001347;0.030976;0.001347;0.000673;0.000673;0.001347;0.000673;0.071380;0.004714;0.000673;0.000673;0.006734;0.002694;0.207407;0.057239;0.002020;0.000673;0.000673;0.000673;0.000673;0.000673;0.000673;0.000673
ul;0.000292;0.016964;0.114068;0.045920;0.002340;0.000877;0.000292;0.022814;0.094180;0.011992;0.000292;0.000292;0.002047;0.563030;0.011407;0.011114;0.000292;0.001170;0.001170;0.000292;0.000292;0.001462;0.093595;0.001462;0.000292;0.000585;0.000292;0.000292;0.000292;0.000292;0.000292
uf;0.003546;0.003546;0.003546;0.003546;0.003546;0.003546;0.003546;0.003546;0.046099;0.003546;0.003546;0.003546;0.003546;0.003546;0.003546;0.003546;0.003546;0.007092;0.003546;0.003546;0.003546;0.003546;0.003546;0.847518;0.003546;0.003546;0.003546;0.003546;0.003546;0.003546;0.003546
uv;0.006536;0.006536;0.006536;0.013072;0.013072;0.006536;0.006536;0.790850;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536
uu;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.117647;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
ux;0.021739;0.021739;0.021739;0.152174;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.130435;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.065217;0.021739;0.021739;0.065217;0.021739;0.021739;0.021739;0.021739;0.021739
uz;0.010870;0.010870;0.010870;0.391304;0.043478;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.065217;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.206522;0.010870;0.010870;0.010870
uq;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
u.;0.016129;0.016129;0.016129;0.016129;0.516129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
u#;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
x(;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
xi;0.004202;0.004202;0.016807;0.025210;0.516807;0.004202;0.004202;0.025210;0.004202;0.029412;0.050420;0.004202;0.037815;0.012605;0.004202;0.008403;0.155462;0.025210;0.004202;0.004202;0.004202;0.004202;0.008403;0.004202;0.012605;0.004202;0.004202;0.004202;0.004202;0.004202;0.004202
xt;0.003106;0.003106;0.003106;0.409938;0.009317;0.003106;0.217391;0.167702;0.003106;0.024845;0.006211;0.003106;0.003106;0.006211;0.015528;0.059006;0.003106;0.003106;0.003106;0.012422;0.003106;0.003106;0.003106;0.003106;0.003106;0.009317;0.003106;0.003106;0.003106;0.003106;0.003106
x ;0.002427;0.046117;0.077670;0.019417;0.043689;0.002427;0.024272;0.019417;0.092233;0.046117;0.031553;0.063107;0.233010;0.019417;0.048544;0.004854;0.058252;0.038835;0.002427;0.016990;0.031553;0.021845;0.009709;0.007282;0.007282;0.014563;0.004854;0.002427;0.002427;0.002427;0.004854
xs;0.029412;0.029412;0.029412;0.117647;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
xg;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
xr;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
xe;0.007407;0.022222;0.007407;0.014815;0.214815;0.007407;0.237037;0.007407;0.007407;0.007407;0.007407;0.007407;0.044444;0.155556;0.007407;0.007407;0.111111;0.029630;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407
xa;0.002506;0.002506;0.025063;0.002506;0.040100;0.012531;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.072682;0.002506;0.002506;0.002506;0.358396;0.428571;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506
xo;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.533333;0.013333;0.013333;0.013333;0.013333;0.013333;0.066667;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.026667;0.013333;0.013333;0.013333;0.013333;0.013333
xb;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
xj;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
xn;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.142857;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
xd;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
xy;0.025641;0.025641;0.025641;0.102564;0.025641;0.076923;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.076923;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
x);0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
xc;0.006289;0.157233;0.006289;0.006289;0.006289;0.006289;0.006289;0.295597;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.106918;0.006289;0.006289;0.106918;0.006289;0.006289;0.169811;0.006289;0.006289;0.006289;0.006289;0.006289
