smoothed;3
(;s;o; ;w;i;t;h;a;b;e;n;g;d;u;);c;l;m;p;f;r;k;y;v;j;z;x;q;.;,;é;#
s,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
sé;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
s#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
o(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
os;0.000260;0.088785;0.043873;0.065161;0.000519;0.087747;0.327103;0.005711;0.003375;0.002336;0.338525;0.000260;0.000260;0.000260;0.002077;0.010384;0.004933;0.001038;0.003115;0.008307;0.000260;0.000260;0.000779;0.001558;0.000260;0.000260;0.000260;0.000260;0.001038;0.000260;0.000260;0.000260;0.000260
oo;0.000222;0.015552;0.000222;0.060653;0.000444;0.000222;0.037325;0.001111;0.000444;0.007110;0.001777;0.021773;0.009109;0.263275;0.000222;0.008887;0.000444;0.131749;0.052655;0.005332;0.007332;0.033326;0.334592;0.000222;0.002666;0.000222;0.001777;0.000222;0.000222;0.000222;0.000222;0.000222;0.000222
o ;0.000040;0.065756;0.028560;0.001862;0.066389;0.105011;0.161577;0.042543;0.073520;0.071182;0.015132;0.012874;0.032759;0.047455;0.008279;0.000396;0.028045;0.025827;0.057992;0.027174;0.023252;0.018419;0.009269;0.062983;0.002773;0.009031;0.000198;0.000119;0.001386;0.000079;0.000040;0.000040;0.000040
ow;0.000085;0.023282;0.000171;0.687873;0.000256;0.020553;0.004093;0.000171;0.009381;0.000682;0.044772;0.093212;0.000085;0.003752;0.000256;0.100802;0.000256;0.008784;0.000256;0.000085;0.000171;0.000085;0.000085;0.000085;0.000085;0.000085;0.000085;0.000085;0.000085;0.000085;0.000085;0.000085;0.000085
oi;0.000347;0.020833;0.000347;0.000347;0.000347;0.000347;0.005208;0.000347;0.002431;0.000347;0.001042;0.867014;0.001042;0.011806;0.000347;0.000347;0.062153;0.018056;0.000347;0.000347;0.000347;0.002083;0.000347;0.000347;0.000694;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347
ot;0.000119;0.014216;0.003464;0.519771;0.000119;0.033329;0.020547;0.222912;0.017919;0.001434;0.078605;0.000119;0.000358;0.000119;0.000119;0.078844;0.000836;0.001553;0.000119;0.000119;0.000239;0.002031;0.000119;0.001911;0.000119;0.000119;0.000119;0.000119;0.000119;0.000119;0.000119;0.000119;0.000119
