smoothed;3
(;s;o; ;w;h;y;a;r;e;n;t;f;l;i;g;c;u;j;);m;p;d;b;k;v;x;#
ne;0.001046;0.081590;0.004184;0.361925;0.094142;0.001046;0.030335;0.012552;0.040795;0.052301;0.003138;0.034519;0.011506;0.014644;0.008368;0.006276;0.020921;0.008368;0.001046;0.057531;0.003138;0.001046;0.069038;0.001046;0.001046;0.042887;0.028243;0.007322
nn;0.005747;0.005747;0.028736;0.005747;0.005747;0.005747;0.034483;0.505747;0.005747;0.166667;0.005747;0.005747;0.005747;0.005747;0.120690;0.005747;0.005747;0.011494;0.005747;0.011494;0.005747;0.005747;0.005747;0.005747;0.005747;0.005747;0.005747;0.005747
nt;0.000834;0.036697;0.060050;0.522102;0.000834;0.023353;0.003336;0.026689;0.015847;0.110092;0.000834;0.000834;0.002502;0.025855;0.076731;0.000834;0.000834;0.002502;0.000834;0.081735;0.000834;0.000834;0.000834;0.000834;0.000834;0.000834;0.000834;0.000834
nf;0.015152;0.015152;0.181818;0.015152;0.015152;0.015152;0.015152;0.030303;0.045455;0.060606;0.015152;0.015152;0.015152;0.075758;0.151515;0.015152;0.015152;0.136364;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152
nl;0.010417;0.010417;0.020833;0.010417;0.010417;0.010417;0.552083;0.020833;0.010417;0.052083;0.010417;0.010417;0.010417;0.010417;0.114583;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417
ni;0.002747;0.076923;0.027473;0.005495;0.002747;0.005495;0.002747;0.021978;0.005495;0.010989;0.280220;0.098901;0.027473;0.002747;0.002747;0.156593;0.071429;0.008242;0.002747;0.002747;0.054945;0.008242;0.002747;0.002747;0.005495;0.068681;0.002747;0.038462
ng;0.000591;0.082151;0.000591;0.697991;0.000591;0.001182;0.000591;0.009456;0.005910;0.033688;0.000591;0.003546;0.004728;0.011229;0.013002;0.000591;0.000591;0.017139;0.000591;0.109338;0.000591;0.000591;0.001773;0.000591;0.000591;0.000591;0.000591;0.000591
nc;0.003636;0.003636;0.029091;0.003636;0.003636;0.069091;0.010909;0.007273;0.054545;0.672727;0.003636;0.025455;0.003636;0.025455;0.036364;0.003636;0.003636;0.003636;0.003636;0.003636;0.003636;0.003636;0.003636;0.003636;0.003636;0.003636;0.003636;0.003636
nu;0.007874;0.039370;0.015748;0.015748;0.007874;0.007874;0.007874;0.062992;0.007874;0.023622;0.031496;0.393701;0.007874;0.007874;0.047244;0.007874;0.062992;0.007874;0.007874;0.007874;0.141732;0.007874;0.023622;0.007874;0.015748;0.007874;0.007874;0.007874
nj;0.032258;0.032258;0.096774;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
n);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
nm;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.391304;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
np;0.030303;0.030303;0.121212;0.030303;0.030303;0.030303;0.030303;0.030303;0.090909;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
nd;0.000525;0.018363;0.007345;0.779119;0.003673;0.001049;0.002099;0.011018;0.008919;0.029381;0.000525;0.000525;0.001049;0.004722;0.014690;0.000525;0.000525;0.003148;0.000525;0.105981;0.002623;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525
nb;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.151515;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
nk;0.003311;0.029801;0.003311;0.688742;0.003311;0.003311;0.003311;0.003311;0.003311;0.003311;0.006623;0.003311;0.003311;0.003311;0.089404;0.003311;0.003311;0.003311;0.003311;0.109272;0.003311;0.003311;0.003311;0.003311;0.003311;0.003311;0.003311;0.003311
nv;0.016393;0.016393;0.081967;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.311475;0.016393;0.016393;0.016393;0.016393;0.196721;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
nx;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
n#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.117647;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
t(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ts;0.000990;0.000990;0.004950;0.843564;0.000990;0.002970;0.000990;0.000990;0.000990;0.010891;0.000990;0.001980;0.000990;0.000990;0.007921;0.000990;0.000990;0.002970;0.000990;0.104950;0.000990;0.000990;0.000990;0.000990;0.000990;0.000990;0.000990;0.000990
to;0.000743;0.003715;0.055721;0.663447;0.010401;0.000743;0.000743;0.000743;0.046805;0.000743;0.015602;0.005201;0.000743;0.008915;0.000743;0.011887;0.002229;0.014859;0.000743;0.095097;0.018574;0.026003;0.007429;0.002972;0.000743;0.000743;0.002972;0.000743
t ;0.000196;0.049489;0.078555;0.009034;0.084053;0.036724;0.049097;0.086017;0.015907;0.015711;0.022192;0.165947;0.021013;0.032600;0.128044;0.021406;0.021013;0.011390;0.008248;0.001964;0.029065;0.023959;0.028280;0.040259;0.013747;0.001964;0.000196;0.003928
tw;0.007692;0.007692;0.576923;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.169231;0.007692;0.007692;0.007692;0.007692;0.061538;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692
th;0.000172;0.002409;0.022027;0.036310;0.000860;0.000172;0.001377;0.227844;0.017553;0.495440;0.000344;0.000172;0.000172;0.000860;0.183273;0.000172;0.000344;0.000860;0.000172;0.007228;0.000344;0.000344;0.000688;0.000172;0.000172;0.000172;0.000172;0.000172
ty;0.005650;0.005650;0.005650;0.649718;0.005650;0.005650;0.005650;0.005650;0.011299;0.005650;0.005650;0.005650;0.005650;0.028249;0.016949;0.005650;0.005650;0.005650;0.005650;0.101695;0.005650;0.067797;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650
ta;0.002105;0.016842;0.002105;0.035789;0.002105;0.002105;0.018947;0.002105;0.187368;0.002105;0.122105;0.067368;0.002105;0.191579;0.075789;0.031579;0.018947;0.012632;0.002105;0.004211;0.010526;0.006316;0.002105;0.044211;0.128421;0.002105;0.004211;0.002105
tr;0.002604;0.002604;0.091146;0.002604;0.002604;0.002604;0.182292;0.236979;0.002604;0.156250;0.002604;0.002604;0.002604;0.002604;0.158854;0.002604;0.002604;0.117188;0.002604;0.002604;0.002604;0.002604;0.002604;0.002604;0.002604;0.002604;0.002604;0.002604
te;0.000928;0.076994;0.000928;0.118738;0.001855;0.000928;0.000928;0.026902;0.321892;0.005566;0.091837;0.001855;0.000928;0.079777;0.002783;0.003711;0.017625;0.000928;0.000928;0.017625;0.032468;0.007421;0.154917;0.002783;0.000928;0.019481;0.007421;0.000928
tn;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.200000;0.025000;0.025000;0.025000;0.025000;0.075000;0.025000;0.025000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
tt;0.003984;0.003984;0.019920;0.015936;0.003984;0.003984;0.071713;0.055777;0.015936;0.334661;0.003984;0.003984;0.003984;0.235060;0.163347;0.003984;0.003984;0.007968;0.003984;0.007968;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984
tf;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.142857;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
tl;0.005495;0.005495;0.010989;0.005495;0.005495;0.005495;0.423077;0.010989;0.005495;0.417582;0.005495;0.005495;0.005495;0.005495;0.010989;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495
ti;0.001067;0.022412;0.198506;0.002134;0.001067;0.001067;0.001067;0.018143;0.013874;0.029883;0.221985;0.035219;0.018143;0.048026;0.001067;0.003202;0.101387;0.001067;0.001067;0.001067;0.179296;0.011740;0.001067;0.004269;0.001067;0.078975;0.001067;0.001067
tg;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
tc;0.012195;0.012195;0.134146;0.024390;0.012195;0.487805;0.012195;0.036585;0.012195;0.012195;0.012195;0.012195;0.012195;0.036585;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195
tu;0.003460;0.003460;0.003460;0.006920;0.003460;0.003460;0.003460;0.224913;0.342561;0.010381;0.041522;0.020761;0.138408;0.003460;0.010381;0.003460;0.027682;0.003460;0.003460;0.003460;0.006920;0.020761;0.079585;0.017301;0.003460;0.003460;0.003460;0.003460
tj;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
t);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
tm;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.162162;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
tp;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
td;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
tb;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.096774;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
tk;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
tv;0.023810;0.023810;0.023810;0.261905;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.119048;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
tx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
t#;0.031250;0.031250;0.062500;0.062500;0.031250;0.031250;0.093750;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
f(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fs;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
fo;0.002020;0.012121;0.046465;0.002020;0.002020;0.002020;0.002020;0.004040;0.773737;0.002020;0.006061;0.002020;0.002020;0.022222;0.002020;0.002020;0.004040;0.086869;0.002020;0.004040;0.002020;0.002020;0.002020;0.002020;0.002020;0.002020;0.004040;0.002020
f ;0.000951;0.048479;0.038973;0.007605;0.035171;0.024715;0.103612;0.081749;0.010456;0.011407;0.006654;0.288973;0.018061;0.023764;0.079848;0.014259;0.037072;0.014259;0.012357;0.002852;0.049430;0.039924;0.019962;0.014259;0.005703;0.006654;0.000951;0.001901
fw;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fh;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fy;0.028571;0.028571;0.028571;0.228571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
fa;0.005435;0.135870;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.092391;0.005435;0.043478;0.103261;0.005435;0.103261;0.054348;0.005435;0.163043;0.016304;0.005435;0.005435;0.114130;0.005435;0.016304;0.027174;0.021739;0.027174;0.005435;0.005435
fr;0.004444;0.004444;0.600000;0.004444;0.004444;0.004444;0.004444;0.057778;0.004444;0.084444;0.004444;0.004444;0.004444;0.004444;0.146667;0.004444;0.004444;0.008889;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444
fe;0.003125;0.040625;0.003125;0.143750;0.043750;0.003125;0.003125;0.034375;0.206250;0.234375;0.034375;0.021875;0.006250;0.078125;0.006250;0.003125;0.065625;0.003125;0.003125;0.028125;0.006250;0.003125;0.009375;0.003125;0.003125;0.003125;0.003125;0.003125
fn;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ft;0.008696;0.017391;0.017391;0.200000;0.026087;0.008696;0.008696;0.008696;0.008696;0.452174;0.008696;0.008696;0.008696;0.008696;0.043478;0.008696;0.008696;0.008696;0.008696;0.060870;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696
ff;0.004525;0.009050;0.022624;0.357466;0.004525;0.004525;0.018100;0.018100;0.004525;0.361991;0.004525;0.004525;0.004525;0.013575;0.072398;0.004525;0.004525;0.004525;0.004525;0.040724;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525
fl;0.013699;0.013699;0.178082;0.013699;0.013699;0.013699;0.068493;0.123288;0.013699;0.109589;0.013699;0.013699;0.013699;0.013699;0.150685;0.013699;0.013699;0.068493;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699
fi;0.002959;0.023669;0.002959;0.002959;0.002959;0.002959;0.002959;0.005917;0.242604;0.038462;0.165680;0.038462;0.002959;0.044379;0.002959;0.159763;0.109467;0.002959;0.002959;0.002959;0.002959;0.002959;0.008876;0.002959;0.002959;0.109467;0.005917;0.002959
fg;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fc;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
fu;0.007353;0.073529;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.051471;0.022059;0.419118;0.022059;0.007353;0.250000;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353
fj;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
f);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fm;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fp;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fd;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fb;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fk;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fv;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
f#;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
l(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ls;0.005618;0.005618;0.303371;0.370787;0.005618;0.011236;0.005618;0.005618;0.005618;0.073034;0.005618;0.016854;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.095506;0.005618;0.005618;0.011236;0.005618;0.005618;0.005618;0.005618;0.005618
lo;0.001927;0.061657;0.273603;0.023121;0.078998;0.001927;0.001927;0.003854;0.026975;0.001927;0.092486;0.196532;0.001927;0.001927;0.003854;0.090559;0.044316;0.028902;0.001927;0.003854;0.003854;0.021195;0.003854;0.003854;0.001927;0.019268;0.001927;0.001927
l ;0.001092;0.065502;0.077511;0.009825;0.053493;0.034934;0.052402;0.088428;0.034934;0.019651;0.024017;0.155022;0.029476;0.031659;0.103712;0.016376;0.026201;0.004367;0.008734;0.003275;0.038210;0.024017;0.036026;0.042576;0.009825;0.004367;0.001092;0.003275
lw;0.015385;0.015385;0.015385;0.015385;0.015385;0.030769;0.015385;0.569231;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385
