smoothed;3
(;w;e;l;c;o;m; ;t;p;d;s;a;v;r;i;j;h;n;);f;u;y;k;g;b;z;x;q;.;,;é;#
jz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
jx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
jq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
j.;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
j,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
jé;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
j#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
h(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hw;0.024390;0.024390;0.073171;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.121951;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
he;0.000038;0.000303;0.000985;0.013522;0.004356;0.000795;0.022953;0.448224;0.006363;0.000076;0.005719;0.054655;0.019355;0.000152;0.154761;0.022233;0.000038;0.000038;0.055412;0.095409;0.000341;0.000038;0.093819;0.000038;0.000038;0.000038;0.000076;0.000038;0.000038;0.000038;0.000038;0.000038;0.000038
hl;0.013889;0.013889;0.250000;0.013889;0.013889;0.013889;0.013889;0.027778;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.083333;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.236111;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889
hc;0.019608;0.019608;0.019608;0.019608;0.019608;0.039216;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.313725;0.019608;0.039216;0.019608;0.019608;0.039216;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
ho;0.000198;0.171491;0.003965;0.066416;0.004163;0.055115;0.022998;0.166534;0.013481;0.027161;0.003965;0.106265;0.002181;0.002181;0.027359;0.004956;0.000198;0.000793;0.031324;0.027359;0.000198;0.256939;0.000198;0.000198;0.001784;0.001190;0.000198;0.000198;0.000198;0.000198;0.000198;0.000198;0.000198
hm;0.008696;0.008696;0.260870;0.008696;0.008696;0.017391;0.330435;0.069565;0.008696;0.008696;0.008696;0.017391;0.060870;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.017391;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696
h ;0.000190;0.062571;0.011221;0.023393;0.027767;0.058197;0.040890;0.001712;0.161849;0.022822;0.021681;0.054013;0.120959;0.003994;0.018828;0.151388;0.008939;0.046215;0.019399;0.000571;0.015595;0.008368;0.038798;0.034234;0.008939;0.034043;0.000190;0.000190;0.001902;0.000190;0.000380;0.000190;0.000380
ht;0.000533;0.012267;0.041067;0.005867;0.000533;0.001067;0.001600;0.741867;0.000533;0.000533;0.000533;0.047467;0.001600;0.000533;0.000533;0.015467;0.001067;0.001067;0.001600;0.101867;0.009600;0.001600;0.005333;0.000533;0.000533;0.000533;0.000533;0.000533;0.000533;0.001067;0.000533;0.000533;0.000533
hp;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
hd;0.019231;0.019231;0.019231;0.019231;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.211538;0.019231;0.153846;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
hs;0.005882;0.005882;0.005882;0.005882;0.005882;0.017647;0.005882;0.647059;0.047059;0.017647;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.105882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882
ha;0.000067;0.000333;0.007270;0.010472;0.001934;0.000734;0.004602;0.001334;0.633229;0.033749;0.040352;0.053025;0.000133;0.125325;0.026079;0.002668;0.000067;0.000333;0.054492;0.000267;0.000133;0.000400;0.000467;0.000800;0.000267;0.000734;0.000333;0.000067;0.000067;0.000067;0.000067;0.000067;0.000067
hv;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.135135;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
hr;0.001931;0.001931;0.345560;0.001931;0.001931;0.476834;0.001931;0.005792;0.001931;0.001931;0.001931;0.001931;0.028958;0.001931;0.001931;0.086873;0.001931;0.001931;0.001931;0.001931;0.001931;0.003861;0.001931;0.001931;0.001931;0.001931;0.001931;0.001931;0.001931;0.001931;0.001931;0.001931;0.001931
hi;0.000102;0.000102;0.004912;0.028656;0.064681;0.001330;0.066830;0.000614;0.031317;0.013100;0.002252;0.383686;0.001330;0.000307;0.009109;0.000102;0.000716;0.000102;0.371098;0.000205;0.002047;0.000102;0.000102;0.000205;0.015352;0.000819;0.000205;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102
hj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hh;0.021277;0.021277;0.042553;0.021277;0.021277;0.127660;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.191489;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
hn;0.002825;0.002825;0.070621;0.002825;0.002825;0.076271;0.002825;0.536723;0.002825;0.002825;0.002825;0.025424;0.002825;0.002825;0.002825;0.036723;0.002825;0.002825;0.011299;0.163842;0.002825;0.002825;0.002825;0.002825;0.002825;0.002825;0.002825;0.002825;0.008475;0.002825;0.002825;0.002825;0.002825
h);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hf;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.108108;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
hu;0.001912;0.001912;0.001912;0.003824;0.053537;0.001912;0.175908;0.110899;0.034417;0.001912;0.005736;0.086042;0.003824;0.001912;0.137667;0.001912;0.001912;0.030593;0.177820;0.015296;0.007648;0.001912;0.001912;0.001912;0.118547;0.003824;0.001912;0.001912;0.001912;0.001912;0.001912;0.001912;0.001912
hy;0.001969;0.001969;0.001969;0.001969;0.001969;0.001969;0.003937;0.716535;0.003937;0.059055;0.001969;0.035433;0.001969;0.001969;0.001969;0.003937;0.001969;0.001969;0.001969;0.124016;0.001969;0.003937;0.001969;0.001969;0.001969;0.001969;0.001969;0.001969;0.001969;0.001969;0.001969;0.001969;0.001969
hk;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
hg;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hb;0.011494;0.011494;0.022989;0.011494;0.011494;0.563218;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.068966;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494
hz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hq;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
h.;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
h,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hé;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
h#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
n(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
nw;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.169811;0.018868;0.018868;0.094340;0.018868;0.169811;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
ne;0.000180;0.118979;0.067937;0.020848;0.016894;0.002336;0.006290;0.291697;0.029835;0.001438;0.100647;0.083034;0.006470;0.033249;0.065960;0.006290;0.000359;0.000359;0.007549;0.046010;0.004853;0.002157;0.046190;0.000180;0.011503;0.001078;0.001977;0.022106;0.002876;0.000180;0.000180;0.000180;0.000180
nl;0.002604;0.002604;0.078125;0.002604;0.002604;0.013021;0.002604;0.002604;0.002604;0.002604;0.002604;0.002604;0.018229;0.002604;0.002604;0.096354;0.002604;0.002604;0.002604;0.002604;0.002604;0.002604;0.721354;0.002604;0.002604;0.002604;0.002604;0.002604;0.002604;0.002604;0.002604;0.002604;0.002604
nc;0.000482;0.000482;0.565574;0.045323;0.000482;0.032787;0.000482;0.009643;0.038091;0.000482;0.000482;0.000482;0.010608;0.000482;0.057859;0.080039;0.000482;0.102700;0.000482;0.003375;0.000482;0.001446;0.042430;0.000482;0.000482;0.000482;0.000482;0.000482;0.000482;0.000482;0.000482;0.000482;0.000482
no;0.000142;0.466733;0.000426;0.004682;0.003830;0.001277;0.028231;0.075897;0.288835;0.001561;0.000142;0.004965;0.000142;0.006242;0.051213;0.001702;0.000142;0.000142;0.014470;0.013903;0.000709;0.024542;0.001135;0.000142;0.000142;0.007377;0.000142;0.000426;0.000142;0.000142;0.000142;0.000142;0.000142
nm;0.004098;0.004098;0.836066;0.004098;0.004098;0.008197;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.032787;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098
n ;0.000059;0.064656;0.019912;0.019675;0.028920;0.053336;0.028565;0.006460;0.230177;0.035498;0.026016;0.050136;0.124037;0.005511;0.016179;0.097191;0.007349;0.046403;0.012623;0.002193;0.031883;0.007763;0.030165;0.004800;0.014460;0.033721;0.000533;0.000356;0.001007;0.000059;0.000178;0.000059;0.000119
nt;0.000107;0.000107;0.098848;0.018021;0.000213;0.042546;0.001493;0.516741;0.000213;0.000107;0.000107;0.071550;0.023353;0.000107;0.045319;0.079441;0.000107;0.012903;0.000107;0.079335;0.000107;0.003626;0.004265;0.000107;0.000213;0.000213;0.000107;0.000107;0.000107;0.000107;0.000107;0.000107;0.000107
np;0.014286;0.014286;0.014286;0.014286;0.014286;0.185714;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.228571;0.014286;0.142857;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.028571;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286
nd;0.000087;0.000348;0.054933;0.003129;0.000261;0.006519;0.002608;0.717949;0.000261;0.000435;0.000174;0.023642;0.020860;0.000087;0.008779;0.039113;0.000087;0.000087;0.000174;0.111517;0.000522;0.004607;0.001999;0.000087;0.000782;0.000348;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087
ns;0.000296;0.020741;0.113481;0.002370;0.006519;0.003556;0.000889;0.493037;0.116148;0.030815;0.000296;0.000296;0.012444;0.000296;0.000296;0.071407;0.000296;0.016593;0.000296;0.072000;0.001185;0.024889;0.007407;0.001185;0.000593;0.000593;0.000296;0.000296;0.000296;0.000296;0.000296;0.000296;0.000296
na;0.000326;0.000977;0.000977;0.289157;0.008792;0.000326;0.039726;0.218496;0.204819;0.004233;0.001954;0.006838;0.000977;0.004884;0.024096;0.006187;0.000326;0.002279;0.037121;0.027353;0.005861;0.068056;0.000977;0.002605;0.021491;0.015956;0.003256;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326
nv;0.001730;0.001730;0.640138;0.001730;0.001730;0.131488;0.001730;0.001730;0.001730;0.001730;0.001730;0.001730;0.029412;0.001730;0.001730;0.147059;0.001730;0.001730;0.001730;0.001730;0.001730;0.001730;0.003460;0.001730;0.001730;0.001730;0.001730;0.001730;0.001730;0.001730;0.001730;0.001730;0.001730
nr;0.007519;0.007519;0.052632;0.007519;0.022556;0.030075;0.007519;0.022556;0.007519;0.007519;0.007519;0.015038;0.586466;0.007519;0.007519;0.060150;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.022556;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519
ni;0.000433;0.000433;0.055026;0.001733;0.064125;0.040295;0.019931;0.020797;0.178943;0.002600;0.000433;0.117851;0.075823;0.019064;0.001300;0.000433;0.000433;0.000867;0.253466;0.002166;0.021231;0.006499;0.000433;0.006932;0.046794;0.001733;0.048960;0.005199;0.004333;0.000433;0.000433;0.000433;0.000433
nj;0.016667;0.016667;0.016667;0.016667;0.016667;0.300000;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.033333;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.166667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667
nh;0.017857;0.017857;0.196429;0.017857;0.017857;0.035714;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.125000;0.017857;0.017857;0.107143;0.017857;0.017857;0.017857;0.017857;0.017857;0.035714;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
nn;0.000702;0.000702;0.168539;0.000702;0.000702;0.089888;0.000702;0.042135;0.000702;0.000702;0.000702;0.021770;0.448034;0.000702;0.000702;0.156601;0.000702;0.000702;0.000702;0.008427;0.000702;0.002107;0.045646;0.000702;0.000702;0.000702;0.000702;0.000702;0.000702;0.000702;0.000702;0.000702;0.000702
n);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
nf;0.002237;0.002237;0.093960;0.161074;0.002237;0.407159;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.020134;0.002237;0.049217;0.161074;0.002237;0.002237;0.002237;0.002237;0.002237;0.049217;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237
nu;0.001953;0.001953;0.119141;0.003906;0.296875;0.001953;0.253906;0.003906;0.091797;0.009766;0.001953;0.017578;0.039062;0.001953;0.011719;0.058594;0.001953;0.001953;0.015625;0.001953;0.029297;0.001953;0.001953;0.007812;0.005859;0.001953;0.001953;0.001953;0.001953;0.001953;0.001953;0.001953;0.001953
ny;0.000844;0.059072;0.020253;0.001688;0.000844;0.054008;0.035443;0.452321;0.131646;0.001688;0.000844;0.001688;0.070886;0.000844;0.000844;0.006751;0.000844;0.000844;0.004219;0.109705;0.000844;0.000844;0.000844;0.000844;0.000844;0.034599;0.000844;0.000844;0.000844;0.000844;0.000844;0.000844;0.000844
nk;0.000527;0.000527;0.016333;0.020021;0.000527;0.001054;0.000527;0.722866;0.001054;0.000527;0.000527;0.043203;0.008957;0.000527;0.001581;0.070074;0.000527;0.000527;0.002107;0.097998;0.001581;0.000527;0.002634;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527
ng;0.000096;0.000096;0.038184;0.012119;0.000577;0.001539;0.000192;0.725786;0.011349;0.000192;0.000769;0.055016;0.004905;0.000096;0.018371;0.005098;0.000096;0.001154;0.000385;0.117438;0.000481;0.004713;0.000289;0.000096;0.000096;0.000192;0.000096;0.000096;0.000096;0.000096;0.000096;0.000096;0.000096
nb;0.015873;0.015873;0.174603;0.031746;0.142857;0.031746;0.015873;0.031746;0.015873;0.015873;0.015873;0.015873;0.063492;0.015873;0.031746;0.047619;0.015873;0.015873;0.015873;0.031746;0.015873;0.047619;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873
nz;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.111111;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
nx;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.128205;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
