smoothed;3
(;h;e;l;o; ;i;m;d;n;g;r;a;t;);y;u;k;c;p;s;f;b;v;w;z;q;j;x;,;.;?;#
fg;0.022222;0.133333;0.022222;0.022222;0.022222;0.044444;0.022222;0.155556;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
fr;0.000537;0.000537;0.161031;0.000537;0.618357;0.001074;0.119163;0.000537;0.000537;0.000537;0.000537;0.000537;0.063875;0.000537;0.000537;0.001074;0.021471;0.000537;0.000537;0.000537;0.000537;0.000537;0.000537;0.000537;0.000537;0.000537;0.000537;0.000537;0.000537;0.000537;0.000537;0.000537;0.000537
fa;0.000598;0.000598;0.000598;0.110048;0.000598;0.002392;0.107057;0.111842;0.002990;0.063397;0.001196;0.141148;0.000598;0.036483;0.001794;0.001196;0.021531;0.020933;0.260167;0.000598;0.055024;0.001196;0.004187;0.046053;0.001794;0.000598;0.001196;0.000598;0.001196;0.000598;0.000598;0.000598;0.000598
ft;0.001515;0.006061;0.451515;0.036364;0.004545;0.293939;0.059091;0.001515;0.001515;0.001515;0.001515;0.001515;0.006061;0.001515;0.051515;0.018182;0.001515;0.001515;0.001515;0.001515;0.015152;0.001515;0.007576;0.001515;0.018182;0.001515;0.001515;0.001515;0.001515;0.001515;0.001515;0.001515;0.001515
f);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
fy;0.004098;0.004098;0.004098;0.004098;0.004098;0.663934;0.135246;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.077869;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098
fu;0.000966;0.000966;0.020290;0.425121;0.000966;0.001932;0.000966;0.000966;0.001932;0.328502;0.004831;0.044444;0.000966;0.074396;0.000966;0.000966;0.000966;0.000966;0.029952;0.000966;0.046377;0.000966;0.000966;0.000966;0.000966;0.000966;0.000966;0.000966;0.000966;0.000966;0.000966;0.000966;0.000966
fk;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
fc;0.026316;0.026316;0.078947;0.026316;0.052632;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
fp;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
fs;0.007407;0.007407;0.029630;0.007407;0.007407;0.525926;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.140741;0.007407;0.014815;0.007407;0.007407;0.081481;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407
ff;0.000464;0.000928;0.483063;0.003712;0.025986;0.313225;0.085847;0.000464;0.000464;0.000464;0.000464;0.000928;0.002784;0.000928;0.044084;0.002320;0.000928;0.000464;0.000928;0.000928;0.023666;0.000464;0.000928;0.000464;0.000928;0.000464;0.000464;0.000464;0.000464;0.000464;0.000928;0.000464;0.000464
fb;0.017857;0.017857;0.017857;0.017857;0.035714;0.017857;0.392857;0.017857;0.017857;0.017857;0.017857;0.017857;0.035714;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
fv;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
fw;0.024390;0.048780;0.024390;0.024390;0.121951;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.097561;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
fz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
fq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
fj;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
fx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
f,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
f.;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
f?;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
f#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
b(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bh;0.025641;0.025641;0.025641;0.025641;0.076923;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.128205;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
be;0.000093;0.011112;0.043515;0.057242;0.000093;0.305071;0.067607;0.000093;0.005603;0.017649;0.006910;0.063218;0.007097;0.056028;0.056495;0.002708;0.000093;0.000093;0.253152;0.000093;0.017649;0.026613;0.000280;0.000093;0.000093;0.000187;0.000093;0.000093;0.000093;0.000187;0.000374;0.000187;0.000093
bl;0.000260;0.000260;0.492468;0.000260;0.023896;0.000260;0.088831;0.001818;0.000260;0.000260;0.000260;0.000779;0.174026;0.000260;0.000260;0.204416;0.007273;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260
bo;0.000214;0.001283;0.000428;0.007697;0.037417;0.001924;0.001710;0.005131;0.248664;0.005773;0.000641;0.068206;0.013043;0.050674;0.000214;0.022664;0.514005;0.000214;0.000214;0.001497;0.002138;0.000214;0.001497;0.004918;0.002566;0.000214;0.000214;0.000214;0.005559;0.000214;0.000214;0.000214;0.000214
b ;0.002740;0.016438;0.010959;0.049315;0.046575;0.063014;0.112329;0.030137;0.027397;0.008219;0.008219;0.024658;0.156164;0.123288;0.013699;0.030137;0.005479;0.005479;0.032877;0.016438;0.057534;0.013699;0.063014;0.002740;0.054795;0.002740;0.005479;0.002740;0.002740;0.002740;0.002740;0.002740;0.002740
bi;0.000690;0.001380;0.034507;0.200138;0.046929;0.016563;0.000690;0.000690;0.006211;0.061422;0.242236;0.046929;0.036577;0.244306;0.001380;0.000690;0.000690;0.004141;0.004141;0.007591;0.005521;0.000690;0.022774;0.000690;0.000690;0.006211;0.001380;0.000690;0.000690;0.000690;0.000690;0.000690;0.000690
bm;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.195122;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
bd;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
bn;0.023256;0.023256;0.023256;0.023256;0.209302;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.069767;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
bg;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.108108;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
br;0.001040;0.001040;0.223493;0.001040;0.234927;0.001040;0.308732;0.001040;0.001040;0.001040;0.001040;0.001040;0.172557;0.001040;0.001040;0.004158;0.028067;0.001040;0.001040;0.001040;0.001040;0.001040;0.001040;0.001040;0.001040;0.001040;0.001040;0.001040;0.001040;0.001040;0.001040;0.001040;0.001040
ba;0.000309;0.000618;0.000309;0.042658;0.000309;0.003091;0.004019;0.012674;0.117156;0.080371;0.008964;0.026584;0.000309;0.128903;0.000618;0.001236;0.002164;0.003091;0.165379;0.000618;0.177125;0.000618;0.219784;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309
bt;0.008475;0.008475;0.067797;0.084746;0.008475;0.305085;0.025424;0.008475;0.008475;0.008475;0.008475;0.084746;0.076271;0.008475;0.067797;0.008475;0.025424;0.008475;0.008475;0.008475;0.033898;0.008475;0.008475;0.008475;0.008475;0.008475;0.033898;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475
b);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
by;0.001116;0.001116;0.007812;0.001116;0.001116;0.795759;0.017857;0.001116;0.001116;0.001116;0.001116;0.002232;0.002232;0.001116;0.126116;0.001116;0.001116;0.001116;0.002232;0.001116;0.017857;0.001116;0.001116;0.001116;0.001116;0.001116;0.001116;0.001116;0.001116;0.001116;0.001116;0.001116;0.001116
bu;0.000193;0.000193;0.000578;0.012919;0.000386;0.000386;0.024875;0.002892;0.022175;0.019476;0.001157;0.014269;0.000193;0.835519;0.000386;0.024682;0.000193;0.000193;0.003471;0.000193;0.030659;0.001350;0.001350;0.000193;0.000193;0.000578;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193
bk;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bc;0.024390;0.024390;0.024390;0.024390;0.048780;0.121951;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.048780;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
bp;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
bs;0.001767;0.001767;0.146643;0.001767;0.305654;0.213781;0.090106;0.001767;0.001767;0.001767;0.001767;0.001767;0.010601;0.060071;0.035336;0.001767;0.042403;0.001767;0.051237;0.003534;0.001767;0.001767;0.001767;0.001767;0.001767;0.001767;0.001767;0.001767;0.001767;0.001767;0.001767;0.001767;0.001767
bf;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bb;0.009346;0.009346;0.130841;0.074766;0.018692;0.037383;0.214953;0.009346;0.009346;0.009346;0.009346;0.018692;0.009346;0.009346;0.009346;0.205607;0.018692;0.009346;0.046729;0.009346;0.018692;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346
bv;0.003745;0.003745;0.048689;0.003745;0.003745;0.007491;0.831461;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745
bw;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
bz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bj;0.004587;0.004587;0.848624;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.009174;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587
bx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
b,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
b.;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
b?;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
b#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
v(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
vh;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ve;0.000064;0.000772;0.000257;0.027463;0.000064;0.405325;0.000386;0.004309;0.013185;0.093903;0.005917;0.350720;0.001222;0.000900;0.057950;0.001737;0.000064;0.000064;0.000064;0.000064;0.034410;0.000193;0.000257;0.000064;0.000129;0.000064;0.000064;0.000064;0.000064;0.000064;0.000064;0.000064;0.000064
vl;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
vo;0.001456;0.001456;0.001456;0.216885;0.001456;0.007278;0.101892;0.002911;0.002911;0.017467;0.001456;0.136827;0.001456;0.312955;0.001456;0.001456;0.021834;0.018923;0.122271;0.001456;0.002911;0.001456;0.001456;0.001456;0.005822;0.001456;0.001456;0.001456;0.001456;0.001456;0.001456;0.001456;0.001456
v ;0.013889;0.069444;0.013889;0.027778;0.097222;0.013889;0.069444;0.027778;0.013889;0.027778;0.013889;0.027778;0.069444;0.069444;0.013889;0.055556;0.013889;0.013889;0.013889;0.041667;0.083333;0.041667;0.027778;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889
vi;0.000326;0.000326;0.180248;0.038462;0.158735;0.000326;0.000326;0.000326;0.228162;0.188396;0.001630;0.035528;0.020860;0.045306;0.000326;0.000326;0.000326;0.000652;0.046284;0.000326;0.038462;0.000326;0.001630;0.009452;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326
vm;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
vd;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
vn;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
vg;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
vr;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
