smoothed;3
(;p;r;e;s;i;d;n;t; ;u;m;a;y;h;g;w;o;);b;c;z;x;v;f;l;k;.;j;q;,;é;á;ä;í;#
re;0.000016;0.034920;0.001515;0.041207;0.153785;0.005675;0.043432;0.039901;0.025376;0.350374;0.000564;0.021861;0.123847;0.000725;0.001515;0.011769;0.005369;0.000677;0.061053;0.001000;0.033324;0.000322;0.000693;0.011124;0.009399;0.015993;0.000129;0.000339;0.000887;0.003111;0.000016;0.000016;0.000016;0.000016;0.000016;0.000016
rs;0.000086;0.009035;0.000086;0.108080;0.000172;0.029343;0.002926;0.000086;0.185784;0.430428;0.014026;0.000344;0.022890;0.005679;0.025213;0.000086;0.000086;0.094054;0.067808;0.000172;0.000602;0.000086;0.000086;0.000086;0.000172;0.000086;0.000172;0.001549;0.000086;0.000086;0.000086;0.000172;0.000086;0.000086;0.000086;0.000086
ri;0.000051;0.018699;0.000051;0.087537;0.053478;0.000051;0.023169;0.128789;0.086458;0.001593;0.001079;0.026713;0.047570;0.000205;0.000051;0.225162;0.000051;0.042125;0.000462;0.035703;0.139628;0.006678;0.000205;0.027895;0.028563;0.014744;0.002569;0.000051;0.000308;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051
rd;0.000197;0.000592;0.001185;0.206120;0.084107;0.134847;0.000197;0.001382;0.000790;0.349852;0.002369;0.001579;0.123593;0.003159;0.000790;0.000197;0.002369;0.011846;0.058440;0.000592;0.002172;0.000197;0.000197;0.000197;0.000395;0.010464;0.000395;0.000197;0.000197;0.000197;0.000197;0.000197;0.000197;0.000197;0.000197;0.000197
rn;0.000286;0.000286;0.000286;0.192506;0.088101;0.216247;0.001430;0.000286;0.000286;0.163330;0.001430;0.179062;0.084382;0.002002;0.001144;0.000286;0.000286;0.030892;0.030606;0.000286;0.002288;0.000286;0.000286;0.000286;0.000286;0.000286;0.000286;0.000286;0.000286;0.000286;0.000286;0.000286;0.000286;0.000286;0.000286;0.000286
rt;0.000104;0.000522;0.004592;0.100198;0.060015;0.142678;0.000104;0.003966;0.000731;0.313955;0.035174;0.020144;0.105104;0.060223;0.086004;0.000835;0.000522;0.006784;0.046133;0.001566;0.000731;0.000522;0.000104;0.000104;0.002296;0.005845;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104
r ;0.000027;0.045407;0.020376;0.022318;0.071343;0.072620;0.025404;0.017078;0.158593;0.009124;0.006437;0.035219;0.122416;0.030484;0.045487;0.017078;0.055037;0.065411;0.002128;0.041790;0.036869;0.000612;0.000160;0.005427;0.048706;0.020137;0.007927;0.000319;0.011864;0.002660;0.001410;0.000027;0.000027;0.000027;0.000027;0.000027
ru;0.000112;0.019052;0.000897;0.080466;0.139639;0.039561;0.011543;0.061751;0.037880;0.001345;0.000224;0.488961;0.003922;0.000112;0.000448;0.012552;0.000112;0.000112;0.000336;0.008293;0.053009;0.002690;0.000336;0.000336;0.000224;0.034966;0.000112;0.000112;0.000112;0.000112;0.000112;0.000112;0.000112;0.000112;0.000112;0.000112
rm;0.000371;0.000371;0.000742;0.157953;0.125695;0.081572;0.000371;0.000371;0.001483;0.190582;0.005191;0.000371;0.315536;0.033370;0.000371;0.000371;0.000371;0.035966;0.035224;0.001483;0.000371;0.000371;0.000371;0.000742;0.002595;0.004079;0.000371;0.000371;0.000371;0.000371;0.000371;0.000371;0.000371;0.000371;0.000371;0.000371
ra;0.000064;0.034434;0.006156;0.022058;0.032062;0.040333;0.038538;0.163129;0.255082;0.030651;0.003783;0.028342;0.000128;0.009105;0.014364;0.033536;0.007182;0.004745;0.004745;0.014364;0.107086;0.021545;0.000064;0.012889;0.003591;0.106957;0.001667;0.000064;0.000577;0.002373;0.000064;0.000064;0.000064;0.000064;0.000064;0.000064
ry;0.000113;0.002712;0.000113;0.002260;0.006667;0.062606;0.002373;0.000226;0.056730;0.639959;0.000226;0.000113;0.018420;0.000113;0.000113;0.000452;0.004294;0.033450;0.120127;0.044186;0.000452;0.000113;0.000113;0.000113;0.000226;0.002599;0.000113;0.000113;0.000113;0.000113;0.000113;0.000113;0.000113;0.000113;0.000113;0.000113
rh;0.003534;0.003534;0.003534;0.448763;0.003534;0.010601;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534;0.159011;0.003534;0.003534;0.003534;0.003534;0.268551;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534
rg;0.000519;0.000519;0.003115;0.496885;0.002596;0.103842;0.016615;0.000519;0.000519;0.043094;0.170301;0.000519;0.109034;0.012980;0.006231;0.000519;0.000519;0.014538;0.006750;0.000519;0.000519;0.000519;0.000519;0.000519;0.000519;0.002077;0.000519;0.000519;0.000519;0.000519;0.000519;0.000519;0.000519;0.000519;0.000519;0.000519
rw;0.002288;0.002288;0.002288;0.215103;0.002288;0.130435;0.002288;0.002288;0.002288;0.002288;0.002288;0.002288;0.521739;0.002288;0.050343;0.002288;0.002288;0.011442;0.002288;0.002288;0.002288;0.002288;0.002288;0.002288;0.002288;0.002288;0.002288;0.002288;0.002288;0.002288;0.002288;0.002288;0.002288;0.002288;0.002288;0.002288
ro;0.000058;0.040648;0.016548;0.002479;0.047740;0.003748;0.024389;0.065729;0.046644;0.058695;0.136877;0.217770;0.016317;0.024274;0.001095;0.016836;0.041052;0.033210;0.011185;0.071091;0.027387;0.000750;0.001441;0.035690;0.016720;0.032691;0.007092;0.000058;0.001384;0.000058;0.000058;0.000058;0.000058;0.000058;0.000058;0.000058
r);0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
rb;0.001709;0.001709;0.005128;0.162393;0.017094;0.174359;0.001709;0.001709;0.001709;0.029060;0.073504;0.001709;0.336752;0.013675;0.001709;0.005128;0.001709;0.111111;0.005128;0.001709;0.001709;0.001709;0.001709;0.001709;0.001709;0.025641;0.001709;0.001709;0.001709;0.001709;0.001709;0.001709;0.001709;0.001709;0.001709;0.001709
rc;0.000479;0.000479;0.002396;0.407762;0.000479;0.052707;0.000479;0.000479;0.000958;0.005271;0.059895;0.000479;0.006708;0.003833;0.397700;0.000479;0.000479;0.034020;0.000479;0.000479;0.000479;0.000479;0.000479;0.000479;0.000479;0.016770;0.000479;0.000479;0.000479;0.000479;0.000479;0.000479;0.000479;0.000479;0.000479;0.000479
rz;0.022222;0.022222;0.022222;0.155556;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.066667;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
rx;0.015152;0.015152;0.015152;0.015152;0.015152;0.363636;0.015152;0.015152;0.015152;0.106061;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.030303;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152
rv;0.000708;0.000708;0.000708;0.293701;0.001415;0.391366;0.000708;0.000708;0.000708;0.005662;0.000708;0.000708;0.280962;0.000708;0.000708;0.000708;0.000708;0.004246;0.002123;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708
rf;0.001704;0.001704;0.005111;0.320273;0.001704;0.025554;0.001704;0.001704;0.001704;0.025554;0.381601;0.001704;0.030664;0.001704;0.001704;0.001704;0.001704;0.143101;0.008518;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.013629;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704
rl;0.000531;0.001062;0.000531;0.042463;0.041401;0.076964;0.320594;0.000531;0.001592;0.048832;0.001062;0.000531;0.017516;0.384820;0.000531;0.000531;0.001062;0.033970;0.007962;0.001062;0.000531;0.000531;0.000531;0.000531;0.008493;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531
rk;0.000402;0.006426;0.000402;0.255422;0.097590;0.108434;0.000803;0.001205;0.000402;0.392369;0.002811;0.001205;0.008434;0.003213;0.000402;0.000402;0.000402;0.008032;0.062651;0.000402;0.000402;0.000402;0.000402;0.000402;0.003614;0.039357;0.000402;0.000402;0.000402;0.000402;0.000402;0.000402;0.000402;0.000402;0.000402;0.000402
r.;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.723183;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.134948;0.003460;0.027682;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460
rj;0.012346;0.012346;0.012346;0.049383;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.358025;0.012346;0.049383;0.012346;0.012346;0.012346;0.012346;0.148148;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346
rq;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
r,;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
ré;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
rá;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
rä;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
rí;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
r#;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
e(;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
ep;0.000200;0.012212;0.047047;0.071672;0.026426;0.041441;0.000601;0.000200;0.098699;0.160761;0.198599;0.000200;0.111712;0.001602;0.020220;0.000200;0.000200;0.120921;0.022422;0.001602;0.000400;0.000200;0.000200;0.000400;0.000400;0.058659;0.000200;0.001001;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200
er;0.000018;0.002411;0.013216;0.237945;0.104269;0.056860;0.009415;0.027224;0.021452;0.299134;0.003132;0.011140;0.034915;0.065712;0.001425;0.006142;0.003168;0.006547;0.051475;0.001637;0.009098;0.000035;0.000018;0.019340;0.008746;0.003678;0.001003;0.000141;0.000581;0.000018;0.000018;0.000018;0.000018;0.000018;0.000018;0.000018
ee;0.000075;0.086636;0.016019;0.000376;0.021433;0.010679;0.114462;0.234865;0.097390;0.206738;0.000075;0.034669;0.000226;0.000301;0.000602;0.000150;0.000451;0.000075;0.032714;0.000150;0.018651;0.001579;0.000602;0.000602;0.001128;0.059863;0.057607;0.000752;0.000451;0.000226;0.000075;0.000075;0.000075;0.000075;0.000075;0.000075
es;0.000026;0.022670;0.000026;0.059005;0.112823;0.082675;0.002844;0.020748;0.162586;0.443918;0.006372;0.000527;0.001659;0.000632;0.003002;0.000026;0.000132;0.007135;0.065456;0.000474;0.004634;0.000026;0.000026;0.000606;0.000026;0.000132;0.001501;0.000026;0.000026;0.000105;0.000026;0.000026;0.000026;0.000026;0.000026;0.000026
ei;0.000202;0.000807;0.404522;0.001817;0.014736;0.000202;0.007469;0.316108;0.056520;0.001413;0.000202;0.003633;0.000202;0.000202;0.000202;0.131611;0.000202;0.000202;0.000404;0.001211;0.000404;0.004239;0.000202;0.028664;0.000606;0.021195;0.000606;0.000202;0.000606;0.000202;0.000202;0.000202;0.000202;0.000202;0.000202;0.000202
ed;0.000040;0.000040;0.001070;0.018627;0.008204;0.087389;0.003765;0.001704;0.000119;0.727172;0.008759;0.000238;0.001902;0.005588;0.000238;0.008838;0.000436;0.006579;0.108553;0.000119;0.000555;0.000040;0.000079;0.000040;0.000040;0.008798;0.000040;0.000713;0.000040;0.000040;0.000040;0.000040;0.000040;0.000040;0.000040;0.000040
en;0.000025;0.000123;0.000444;0.038128;0.042126;0.025271;0.084845;0.006639;0.334469;0.308211;0.002295;0.000987;0.019743;0.001209;0.000617;0.007379;0.000123;0.009032;0.051257;0.000123;0.055502;0.000370;0.000025;0.001555;0.002196;0.004417;0.000099;0.000049;0.002369;0.000222;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025
et;0.000067;0.001000;0.005065;0.074837;0.103092;0.047114;0.000067;0.002199;0.152073;0.315341;0.006864;0.000267;0.039118;0.020725;0.134280;0.000067;0.027789;0.012862;0.046848;0.000866;0.003465;0.000400;0.000067;0.000067;0.003132;0.001599;0.000133;0.000067;0.000067;0.000067;0.000067;0.000067;0.000067;0.000067;0.000067;0.000067
e ;0.000007;0.042441;0.029733;0.018961;0.079585;0.078781;0.032037;0.028076;0.134899;0.003068;0.014849;0.035248;0.104893;0.018981;0.040301;0.025942;0.074274;0.060843;0.000736;0.046525;0.041200;0.000484;0.000102;0.006641;0.038310;0.025335;0.006545;0.000055;0.008045;0.002802;0.000266;0.000007;0.000007;0.000007;0.000007;0.000007
eu;0.002660;0.039894;0.356383;0.002660;0.042553;0.002660;0.047872;0.111702;0.204787;0.061170;0.002660;0.010638;0.002660;0.002660;0.002660;0.023936;0.002660;0.002660;0.013298;0.002660;0.005319;0.002660;0.002660;0.007979;0.002660;0.010638;0.005319;0.002660;0.002660;0.002660;0.002660;0.002660;0.002660;0.002660;0.002660;0.002660
em;0.000097;0.063651;0.000097;0.188225;0.052052;0.059070;0.000097;0.004289;0.000195;0.225266;0.000292;0.004191;0.056536;0.005361;0.000097;0.000097;0.000097;0.196510;0.034799;0.106346;0.000195;0.000097;0.000097;0.000097;0.000097;0.001072;0.000097;0.000097;0.000097;0.000097;0.000097;0.000097;0.000097;0.000097;0.000097;0.000097
ea;0.000045;0.012016;0.185047;0.000045;0.119448;0.000045;0.096351;0.114108;0.112684;0.032933;0.007610;0.020650;0.000045;0.000045;0.020783;0.005073;0.000445;0.000045;0.005385;0.001335;0.031286;0.000267;0.000045;0.012016;0.000534;0.183089;0.038229;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045
ey;0.000099;0.000099;0.144139;0.015873;0.006408;0.000789;0.005028;0.001775;0.000099;0.657596;0.000099;0.000394;0.000493;0.000099;0.000099;0.000099;0.000099;0.008676;0.106576;0.002662;0.000690;0.000099;0.000099;0.033816;0.000099;0.013014;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099
eh;0.001484;0.001484;0.025223;0.140950;0.001484;0.215134;0.001484;0.017804;0.004451;0.008902;0.010386;0.005935;0.256677;0.005935;0.001484;0.001484;0.001484;0.270030;0.002967;0.001484;0.001484;0.001484;0.001484;0.001484;0.001484;0.001484;0.001484;0.001484;0.001484;0.001484;0.001484;0.001484;0.001484;0.001484;0.001484;0.001484
eg;0.000294;0.000294;0.046402;0.115712;0.003524;0.224376;0.000587;0.006755;0.000294;0.008811;0.054919;0.005286;0.444640;0.015272;0.001468;0.012041;0.000294;0.047577;0.002643;0.000294;0.000294;0.000294;0.000294;0.000294;0.000294;0.004112;0.000294;0.000294;0.000294;0.000294;0.000294;0.000294;0.000294;0.000294;0.000294;0.000294
ew;0.000254;0.005836;0.001269;0.030449;0.288252;0.045674;0.001269;0.000507;0.003045;0.485664;0.001269;0.000507;0.014210;0.000254;0.017001;0.000254;0.000254;0.005075;0.091347;0.000507;0.000761;0.000254;0.000254;0.000254;0.001522;0.001522;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254
eo;0.000200;0.805322;0.053421;0.000200;0.010404;0.000200;0.001801;0.049220;0.002001;0.033013;0.011405;0.001200;0.000200;0.000200;0.000200;0.000800;0.001601;0.000200;0.004602;0.000200;0.006202;0.000200;0.000200;0.001000;0.002601;0.011405;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200
e);0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
eb;0.000762;0.000762;0.143184;0.047220;0.054075;0.002285;0.001523;0.000762;0.050267;0.027418;0.029703;0.000762;0.125666;0.009139;0.000762;0.000762;0.000762;0.472963;0.004570;0.012186;0.001523;0.000762;0.000762;0.000762;0.000762;0.001523;0.000762;0.000762;0.000762;0.000762;0.000762;0.001523;0.000762;0.000762;0.000762;0.000762
ec;0.000069;0.000069;0.033524;0.051766;0.000138;0.117299;0.000551;0.000069;0.223859;0.001170;0.040132;0.000069;0.304536;0.000551;0.030288;0.000069;0.000069;0.127418;0.000344;0.000069;0.000620;0.000069;0.000069;0.000069;0.000069;0.013286;0.053142;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069
ez;0.004975;0.004975;0.029851;0.134328;0.029851;0.024876;0.004975;0.004975;0.004975;0.452736;0.049751;0.004975;0.014925;0.004975;0.004975;0.004975;0.004975;0.014925;0.064677;0.054726;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975
ex;0.000213;0.248561;0.000213;0.040290;0.000213;0.059902;0.000213;0.000213;0.168834;0.049883;0.096781;0.000426;0.202729;0.001705;0.002984;0.000640;0.003198;0.006182;0.010232;0.001279;0.101684;0.000213;0.000213;0.000213;0.000213;0.000426;0.000213;0.000213;0.000213;0.000426;0.000213;0.000213;0.000213;0.000213;0.000213;0.000213
ev;0.000116;0.000116;0.001276;0.831574;0.000116;0.119012;0.000116;0.000116;0.000116;0.001160;0.000232;0.000116;0.025983;0.001624;0.000116;0.000116;0.000116;0.015775;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000232;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116
ef;0.000239;0.000239;0.008602;0.168698;0.008124;0.080765;0.000478;0.000239;0.304898;0.030346;0.071446;0.000478;0.009080;0.000717;0.000239;0.000239;0.000239;0.209558;0.006213;0.000239;0.000478;0.000239;0.000239;0.000239;0.084588;0.010753;0.000239;0.000239;0.000239;0.000239;0.000239;0.000239;0.000239;0.000239;0.000239;0.000239
el;0.000069;0.032675;0.000894;0.108138;0.043682;0.136411;0.014652;0.000069;0.008392;0.109445;0.001307;0.002270;0.027103;0.102635;0.000275;0.000344;0.000138;0.014652;0.016991;0.001376;0.004540;0.000069;0.000069;0.013414;0.053450;0.306184;0.000138;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069
ek;0.001167;0.001167;0.001167;0.187865;0.192532;0.033839;0.001167;0.029172;0.003501;0.416569;0.002334;0.001167;0.003501;0.001167;0.001167;0.001167;0.002334;0.001167;0.086348;0.002334;0.001167;0.001167;0.001167;0.001167;0.001167;0.011669;0.001167;0.001167;0.001167;0.001167;0.001167;0.001167;0.001167;0.001167;0.001167;0.001167
e.;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.656863;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804
ej;0.009615;0.009615;0.009615;0.490385;0.009615;0.019231;0.009615;0.009615;0.009615;0.009615;0.105769;0.009615;0.057692;0.009615;0.009615;0.009615;0.009615;0.028846;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615
eq;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.004367;0.002183;0.921397;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183
