smoothed;3
(;a;l;r;i;g;h;t; ;j;m;c;e;y;s;n;);o;k;v;b;f;w;u;d;p;#
kk;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
kv;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
kb;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
kf;0.028571;0.171429;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
kw;0.027027;0.243243;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
ku;0.025641;0.025641;0.051282;0.051282;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.102564;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.102564;0.102564;0.025641
kd;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
kp;0.033333;0.033333;0.066667;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
k#;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
v(;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
va;0.002105;0.002105;0.124211;0.037895;0.014737;0.021053;0.004211;0.240000;0.008421;0.002105;0.008421;0.027368;0.002105;0.002105;0.025263;0.427368;0.004211;0.002105;0.002105;0.002105;0.006316;0.002105;0.002105;0.002105;0.014737;0.010526;0.002105
vl;0.033333;0.133333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
vr;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.103448;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vi;0.001072;0.006431;0.060021;0.066452;0.001072;0.001072;0.001072;0.027867;0.001072;0.001072;0.001072;0.093248;0.133976;0.001072;0.147910;0.254019;0.001072;0.075027;0.001072;0.023580;0.004287;0.001072;0.001072;0.001072;0.091104;0.001072;0.001072
vg;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
vh;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
vt;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
v ;0.018868;0.113208;0.037736;0.037736;0.037736;0.018868;0.018868;0.113208;0.018868;0.018868;0.018868;0.037736;0.018868;0.018868;0.075472;0.018868;0.018868;0.075472;0.018868;0.018868;0.037736;0.018868;0.113208;0.018868;0.018868;0.018868;0.018868
vj;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
vm;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
vc;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ve;0.000195;0.001168;0.015969;0.361052;0.001558;0.000974;0.000779;0.001558;0.430380;0.000195;0.007011;0.000195;0.000195;0.001947;0.040117;0.094645;0.011879;0.000195;0.000195;0.000195;0.000195;0.000195;0.000389;0.000195;0.028238;0.000195;0.000195
vy;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.250000;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
vs;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.187500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
vn;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
v);0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
vo;0.002392;0.002392;0.095694;0.265550;0.031100;0.004785;0.002392;0.471292;0.004785;0.002392;0.002392;0.028708;0.002392;0.002392;0.002392;0.019139;0.002392;0.002392;0.011962;0.002392;0.002392;0.002392;0.002392;0.019139;0.009569;0.002392;0.002392
vk;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
vv;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
vb;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
vf;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
vw;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
vu;0.024390;0.024390;0.365854;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
vd;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.129032;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
vp;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
v#;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
b(;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ba;0.000769;0.000769;0.066872;0.047656;0.004612;0.016141;0.000769;0.052267;0.003075;0.000769;0.069946;0.339739;0.000769;0.002306;0.128363;0.106841;0.000769;0.000769;0.003075;0.000769;0.062260;0.000769;0.000769;0.003843;0.082244;0.002306;0.000769
bl;0.000898;0.078097;0.000898;0.000898;0.328546;0.000898;0.000898;0.000898;0.000898;0.000898;0.000898;0.000898;0.447038;0.072711;0.000898;0.000898;0.000898;0.039497;0.000898;0.000898;0.000898;0.000898;0.000898;0.015260;0.000898;0.000898;0.000898
br;0.002203;0.174009;0.002203;0.002203;0.268722;0.002203;0.002203;0.002203;0.002203;0.002203;0.002203;0.002203;0.167401;0.004405;0.002203;0.002203;0.002203;0.314978;0.002203;0.002203;0.002203;0.002203;0.002203;0.024229;0.002203;0.002203;0.002203
bi;0.001855;0.037106;0.287570;0.040816;0.001855;0.306122;0.001855;0.102041;0.005566;0.001855;0.001855;0.014842;0.025974;0.001855;0.007421;0.090909;0.001855;0.005566;0.009276;0.001855;0.011132;0.001855;0.001855;0.001855;0.018553;0.011132;0.005566
bg;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
bh;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483
bt;0.020000;0.080000;0.040000;0.020000;0.040000;0.020000;0.020000;0.020000;0.360000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
b ;0.002288;0.153318;0.016018;0.027460;0.116705;0.006865;0.011442;0.054920;0.002288;0.009153;0.018307;0.045767;0.013730;0.011442;0.043478;0.011442;0.002288;0.297483;0.004577;0.002288;0.029748;0.016018;0.052632;0.009153;0.018307;0.018307;0.004577
bj;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.409091;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
bm;0.032258;0.096774;0.032258;0.032258;0.096774;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
bc;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.156250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
be;0.000325;0.016580;0.054941;0.106632;0.039337;0.014629;0.013004;0.051691;0.300390;0.000325;0.000325;0.203836;0.108583;0.002926;0.020156;0.009428;0.007152;0.000325;0.000325;0.000325;0.000325;0.032510;0.000325;0.000325;0.014629;0.000325;0.000325
by;0.002174;0.008696;0.004348;0.002174;0.010870;0.002174;0.002174;0.004348;0.889130;0.002174;0.002174;0.002174;0.008696;0.002174;0.013043;0.002174;0.019565;0.002174;0.002174;0.002174;0.002174;0.002174;0.002174;0.002174;0.002174;0.002174;0.002174
bs;0.005848;0.005848;0.005848;0.005848;0.064327;0.005848;0.017544;0.105263;0.257310;0.005848;0.005848;0.017544;0.093567;0.005848;0.005848;0.005848;0.029240;0.280702;0.005848;0.005848;0.005848;0.005848;0.005848;0.029240;0.005848;0.005848;0.005848
bn;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
b);0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
bo;0.000592;0.018354;0.005329;0.049142;0.001184;0.002368;0.000592;0.053878;0.001776;0.000592;0.022499;0.000592;0.001776;0.019538;0.007105;0.011841;0.000592;0.083481;0.000592;0.006513;0.018354;0.000592;0.005921;0.526347;0.150977;0.000592;0.008881
bk;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
bv;0.022727;0.022727;0.022727;0.022727;0.409091;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
bb;0.010309;0.020619;0.164948;0.010309;0.144330;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.216495;0.195876;0.020619;0.010309;0.010309;0.030928;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309
bf;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
bw;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
bu;0.000665;0.000665;0.023287;0.030605;0.036593;0.006653;0.000665;0.729208;0.000665;0.000665;0.049235;0.013307;0.000665;0.020625;0.051896;0.009980;0.000665;0.001331;0.001996;0.000665;0.005988;0.001996;0.000665;0.000665;0.009315;0.000665;0.000665
bd;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
bp;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.257143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
b#;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
f(;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
fa;0.001321;0.001321;0.059445;0.070013;0.099075;0.002642;0.001321;0.050198;0.002642;0.001321;0.089828;0.258917;0.001321;0.001321;0.052840;0.124174;0.001321;0.001321;0.030383;0.124174;0.005284;0.001321;0.001321;0.010568;0.003963;0.001321;0.001321
fl;0.005952;0.226190;0.005952;0.005952;0.089286;0.005952;0.005952;0.005952;0.041667;0.005952;0.005952;0.005952;0.148810;0.119048;0.005952;0.005952;0.005952;0.196429;0.005952;0.005952;0.005952;0.005952;0.005952;0.059524;0.005952;0.005952;0.005952
fr;0.000998;0.083832;0.000998;0.000998;0.104790;0.000998;0.000998;0.000998;0.000998;0.000998;0.000998;0.000998;0.075848;0.001996;0.000998;0.000998;0.000998;0.699601;0.000998;0.000998;0.000998;0.000998;0.000998;0.012974;0.000998;0.000998;0.000998
fi;0.001040;0.007277;0.031185;0.239085;0.001040;0.082121;0.001040;0.027027;0.002079;0.001040;0.001040;0.161123;0.036383;0.001040;0.009356;0.190229;0.001040;0.001040;0.001040;0.099792;0.002079;0.072765;0.001040;0.001040;0.009356;0.001040;0.017672
fg;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.212121;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
fh;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ft;0.003086;0.003086;0.012346;0.003086;0.040123;0.003086;0.024691;0.003086;0.216049;0.003086;0.003086;0.003086;0.506173;0.129630;0.003086;0.003086;0.006173;0.003086;0.003086;0.003086;0.006173;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086
f ;0.000299;0.079797;0.020921;0.023610;0.064256;0.012253;0.052002;0.291692;0.000299;0.007770;0.026599;0.040048;0.014644;0.059773;0.049313;0.009564;0.000299;0.031082;0.004184;0.004782;0.029588;0.017035;0.068141;0.010161;0.038553;0.042140;0.001195
fj;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
fm;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
fc;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
fe;0.001133;0.026048;0.029445;0.228766;0.005663;0.001133;0.001133;0.013590;0.253681;0.001133;0.016988;0.087203;0.113250;0.001133;0.036240;0.067950;0.019253;0.001133;0.001133;0.002265;0.005663;0.001133;0.055493;0.001133;0.026048;0.001133;0.001133
fy;0.023256;0.023256;0.023256;0.023256;0.186047;0.023256;0.023256;0.023256;0.232558;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
fs;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.355556;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.088889;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
fn;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
f);0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
fo;0.000507;0.000507;0.025875;0.861999;0.001522;0.001015;0.000507;0.000507;0.000507;0.000507;0.001015;0.010147;0.000507;0.000507;0.000507;0.001015;0.000507;0.013191;0.000507;0.000507;0.000507;0.000507;0.000507;0.054795;0.001015;0.000507;0.020294
fk;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.103448;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
fv;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
fb;0.034483;0.034483;0.034483;0.034483;0.103448;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
ff;0.001661;0.018272;0.004983;0.003322;0.207641;0.001661;0.001661;0.001661;0.272425;0.001661;0.001661;0.001661;0.395349;0.003322;0.018272;0.001661;0.024917;0.023256;0.001661;0.001661;0.001661;0.001661;0.001661;0.001661;0.001661;0.001661;0.001661
fw;0.034483;0.103448;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
fu;0.002994;0.002994;0.326347;0.044910;0.002994;0.011976;0.002994;0.047904;0.002994;0.002994;0.002994;0.206587;0.002994;0.002994;0.029940;0.263473;0.002994;0.002994;0.005988;0.002994;0.002994;0.002994;0.002994;0.002994;0.005988;0.002994;0.005988
fd;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
fp;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
f#;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
w(;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
wa;0.000352;0.000352;0.029256;0.068030;0.023616;0.011632;0.000352;0.083186;0.000705;0.000352;0.002115;0.002115;0.000352;0.210081;0.403595;0.148396;0.000705;0.000352;0.004582;0.002820;0.001057;0.000705;0.000352;0.001057;0.002467;0.001057;0.000352
wl;0.020408;0.020408;0.020408;0.020408;0.061224;0.020408;0.020408;0.020408;0.163265;0.020408;0.020408;0.020408;0.204082;0.081633;0.040816;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
wr;0.005405;0.048649;0.005405;0.005405;0.335135;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.048649;0.005405;0.005405;0.005405;0.005405;0.443243;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405
wi;0.000563;0.000563;0.176338;0.004507;0.000563;0.000563;0.000563;0.642254;0.000563;0.000563;0.001690;0.004507;0.002254;0.000563;0.022535;0.103099;0.000563;0.000563;0.003944;0.002817;0.000563;0.016901;0.000563;0.000563;0.008451;0.002254;0.001127
wg;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
wh;0.000271;0.329093;0.000271;0.000271;0.112043;0.000271;0.000271;0.000271;0.000271;0.000271;0.000271;0.000271;0.305819;0.071177;0.000271;0.000271;0.000271;0.175913;0.000271;0.000271;0.000271;0.000271;0.000271;0.000271;0.000271;0.000271;0.000271
wt;0.025000;0.025000;0.025000;0.025000;0.100000;0.025000;0.225000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
w ;0.000443;0.088977;0.013280;0.015494;0.136786;0.010624;0.061089;0.217795;0.000443;0.007968;0.032315;0.022134;0.015936;0.063302;0.028331;0.013723;0.000443;0.023904;0.004869;0.004427;0.037185;0.013723;0.127047;0.012838;0.029216;0.015936;0.001771
wj;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
wm;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
