smoothed;3
(;);t;h;i;s; ;m;e;a;g;c;o;f;r;n;p;b;l;w;d;y;u;k;v;#
hm;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.352941;0.156863;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.039216;0.019608;0.019608;0.019608
he;0.000113;0.005085;0.005989;0.000113;0.019774;0.044746;0.567571;0.018418;0.001130;0.027797;0.000113;0.003051;0.001582;0.000113;0.153559;0.051525;0.000113;0.000113;0.010734;0.000113;0.007345;0.080339;0.000113;0.000113;0.000226;0.000113
ha;0.000212;0.000212;0.581007;0.000212;0.008883;0.072970;0.000635;0.005076;0.005288;0.000212;0.000212;0.000423;0.000635;0.000212;0.027919;0.065144;0.032783;0.000846;0.011421;0.001058;0.047377;0.000423;0.000423;0.003807;0.132403;0.000212
hg;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
hc;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.307692;0.025641;0.025641;0.051282;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
ho;0.000575;0.001151;0.014384;0.000575;0.002877;0.103567;0.182394;0.035098;0.005754;0.002877;0.001151;0.002301;0.020138;0.000575;0.031070;0.019563;0.012658;0.000575;0.057537;0.158803;0.006329;0.000575;0.336018;0.000575;0.002301;0.000575
hf;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
hr;0.004739;0.004739;0.004739;0.004739;0.075829;0.004739;0.004739;0.004739;0.355450;0.014218;0.004739;0.004739;0.450237;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739
hn;0.007874;0.015748;0.007874;0.007874;0.062992;0.039370;0.543307;0.007874;0.118110;0.007874;0.007874;0.007874;0.062992;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874
hp;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
hb;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
hl;0.016667;0.016667;0.016667;0.016667;0.100000;0.016667;0.016667;0.016667;0.266667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.250000;0.016667;0.016667;0.016667;0.016667
hw;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.147059;0.147059;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
