,RESIDENTIAL_CITY,AGE_RANGE,PARTY_AFFILIATION
914,ATHENS,0-24,None
915,ATHENS,0-24,None
916,ATHENS,0-24,None
917,ATHENS,0-24,None
918,ATHENS,0-24,None
919,ATHENS,0-24,None
920,ATHENS,0-24,None
921,ATHENS,0-24,None
922,ATHENS,0-24,None
923,ATHENS,0-24,None
924,ATHENS,0-24,None
925,ATHENS,0-24,None
926,ATHENS,0-24,None
927,ATHENS,0-24,None
928,ATHENS,0-24,None
929,ATHENS,0-24,None
930,ATHENS,0-24,None
931,ATHENS,0-24,None
932,ATHENS,0-24,None
933,ATHENS,0-24,None
934,ATHENS,0-24,None
935,ATHENS,0-24,None
936,ATHENS,0-24,None
937,ATHENS,0-24,None
938,ATHENS,0-24,None
939,ATHENS,0-24,None
940,ATHENS,0-24,None
941,ATHENS,0-24,None
942,ATHENS,0-24,None
943,ATHENS,0-24,None
944,ATHENS,0-24,None
945,ATHENS,0-24,None
946,ATHENS,0-24,None
947,ATHENS,0-24,None
948,ATHENS,0-24,None
949,ATHENS,0-24,None
950,ATHENS,0-24,None
951,ATHENS,0-24,None
952,ATHENS,0-24,None
953,ATHENS,0-24,None
954,ATHENS,0-24,D
955,ATHENS,0-24,None
956,ATHENS,0-24,D
957,ATHENS,0-24,None
958,ATHENS,0-24,None
959,ATHENS,0-24,None
960,ATHENS,0-24,None
961,ATHENS,0-24,None
962,ATHENS,0-24,None
963,ATHENS,0-24,None
964,ATHENS,0-24,None
965,ATHENS,0-24,None
966,ATHENS,0-24,None
967,ATHENS,0-24,D
968,ATHENS,0-24,None
969,ATHENS,0-24,None
970,ATHENS,0-24,None
971,ATHENS,0-24,D
972,ATHENS,0-24,None
973,ATHENS,0-24,None
974,ATHENS,0-24,None
975,ATHENS,0-24,None
976,ATHENS,0-24,None
977,ATHENS,0-24,None
978,ATHENS,0-24,None
979,ATHENS,0-24,D
980,ATHENS,0-24,None
981,ATHENS,0-24,None
982,ATHENS,0-24,D
983,ATHENS,0-24,None
