,STREET,AGE_RANGE,PARTY_AFFILIATION
522,"E NORTH ST, MCARTHUR",65+,None
523,"E NORTH ST, MCARTHUR",65+,None
524,"ST RT 683, MCARTHUR",24-44,None
525,"CHILLICOTHE ST, HAMDEN",24-44,None
526,"ST RT 93, HAMDEN",45-64,None
527,"ST RT 327, RAY",45-64,None
528,"MADISON AVE, MCARTHUR",24-44,None
529,"S MARKET ST, MCARTHUR",24-44,None
530,"MORGAN RD, MCARTHUR",24-44,None
531,"ST RT 56, NEW PLYMOUTH",45-64,None
532,"ST RT 56, NEW PLYMOUTH",45-64,None
533,"N PEARL ST, MCARTHUR",24-44,None
534,"N MARKET ST, MCARTHUR",24-44,None
535,"W JUNCTION RD, RAY",24-44,None
536,"DUNKLE CREEK RD, CREOLA",24-44,None
